1.50.286=карниз FLEX=3052.00=1832.00=130,49=9924=1147=830=16700=44,16=44,16=141,1=311919=1793
1.50.289=карниз=1344.00=807.00=57,44=4364=505=365=7400=19,48=19,48=62=137421=790
1.50.289=карниз FLEX=2684.00=1611.00=114,78=8727=1009=730=14700=38,96=38,96=124=274841=1580
1.50.290=карниз=1421.00=853.00=60,73=4617=535=387=7800=20,35=20,35=65,7=145365=836
1.50.290=карниз FLEX=2840.00=1704.00=121,41=9234=1068=774=15500=40,69=40,69=131,3=290730=1671
1.50.292=карниз=1016.00=610.00=43,42=3305=381=277=5600=14,73=14,73=46,8=103875=597
1.50.292=карниз FLEX=2030.00=1218.00=86,79=6609=764=554=11100=29,45=29,45=93,7=207749=1193
1.50.297=карниз=984.00=591.00=42,05=3201=370=268=5400=14,28=14,28=45,4=100638=579
1.50.297=карниз FLEX=1967.00=1181.00=84,11=6402=739=536=10800=28,56=28,56=90,7=201275=1157
1.50.299=карниз=1051.00=631.00=44,92=3420=396=286=5800=15,15=15,15=48,5=107406=618
1.50.299=карниз FLEX=2099.00=1260.00=89,75=6839=790=572=11500=30,29=30,29=97=214811=1235
1.51.309=молдинг=1275.00=765.00=54,52=4145=479=347=7000=23,15=23,15=58,8=130359=749
1.51.309=молдинг FLEX=2547.00=1529.00=108,9=8290=957=694=13900=46,28=46,28=117,7=260717=1497
1.51.311=молдинг=1989.00=1194.00=85,05=6471=750=541=10900=28,29=28,29=91,9=203336=1169
1.51.311=молдинг FLEX=3978.00=2387.00=170,1=12941=1500=1082=21700=56,59=56,59=184=406671=2337
1.51.313=молдинг=1209.00=726.00=51,7=3926=455=329=6700=17,15=17,15=55,9=123590=713
1.51.313=молдинг FLEX=2417.00=1451.00=103,35=7852=910=657=13200=34,29=34,29=111,7=247180=1425
1.51.318=молдинг=1295.00=777.00=55,37=4214=486=353=7100=18,43=18,43=59,8=132419=762
1.51.318=молдинг FLEX=2589.00=1554.00=110,69=8428=973=706=14200=36,87=36,87=119,6=264837=1523
1.51.319=молдинг=2092.00=1256.00=89,42=6793=787=569=11500=29,58=29,58=96,6=213929=1229
1.51.319=молдинг FLEX=4182.00=2510.00=178,8=13586=1574=1138=22900=59,17=59,17=193,2=427857=2457
1.51.320=молдинг=1989.00=1194.00=85,05=6471=750=541=10900=28,29=28,29=91,9=203336=1169
1.51.320=молдинг FLEX=3978.00=2387.00=170,1=12941=1500=1082=21700=56,59=56,59=184=406671=2337
1.51.324=молдинг=939.00=564.00=40,13=3051=352=255=5200=13,29=13,29=43,3=95930=552
1.51.324=молдинг FLEX=1875.00=1125.00=80,16=6102=704=510=10300=26,56=26,56=86,5=191859=1103
1.51.325=молдинг=2057.00=1235.00=87,96=6689=773=559=11300=29,15=29,15=95=210398=1210
1.51.325=молдинг FLEX=4114.00=2469.00=175,93=13378=1549=1118=22500=58,31=58,31=190,2=420796=2420
1.51.326=молдинг=1193.00=716.00=50,99=3869=449=325=6600=17,15=17,15=55,1=122119=702
1.51.326=молдинг FLEX=2384.00=1431.00=101,94=7737=897=650=13000=34,29=34,29=110,1=244238=1403
1.51.328=молдинг=1193.00=716.00=50,99=3869=449=325=6600=17,15=17,15=55,1=122119=702
1.51.328=молдинг FLEX=2384.00=1431.00=101,94=7737=897=650=13000=34,29=34,29=110,1=244238=1403
1.51.329=молдинг=992.00=596.00=42,38=3224=373=270=5500=14,14=14,14=45,8=101521=583
1.51.329=молдинг FLEX=1980.00=1188.00=84,67=6448=744=540=10900=28,28=28,28=91,4=203042=1166
1.51.330=молдинг=1257.00=755.00=53,72=4088=473=342=6900=18=18=58=128593=739
1.51.330=молдинг FLEX=2512.00=1508.00=107,39=8175=945=684=13800=36,01=36,01=116,1=257186=1478
1.51.331=молдинг=1275.00=765.00=54,52=4145=479=347=7000=21,01=21,01=58,8=130359=749
1.51.331=молдинг FLEX=2547.00=1529.00=108,9=8290=957=694=13900=42,02=42,02=117,7=260717=1497
1.51.332=молдинг=1202.00=722.00=51,37=3903=451=327=6600=21,86=21,86=55,4=123002=706
1.51.332=молдинг FLEX=2401.00=1441.00=102,64=7806=904=654=13200=43,74=43,74=110,9=246004=1412
1.51.334=молдинг=1160.00=696.00=49,58=3765=436=315=6400=16,71=16,71=53,6=118587=681
1.51.334=молдинг FLEX=2317.00=1391.00=99,07=7530=871=630=12700=33,43=33,43=107=237174=1362
1.51.335=молдинг=1278.00=767.00=54,61=4157=480=347=7000=18=18=59=130653=751
1.51.335=молдинг FLEX=2554.00=1533.00=109,18=8313=960=694=14000=36,01=36,01=117,9=261305=1502
