IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IP_PROP446;CV_PRICE_1;IP_PROP670
5913;фриз 4.33.301;4.33.301;N;ВР001005093;;3503.00;3309
5914;фриз 4.03.302;4.03.302;N;ВР001022581;;5448.00;5145
5915;фриз 4.33.101;4.33.101;N;ВР001004970;N;5836.00;5512
5916;фриз 4.33.102;4.33.102;N;ВР001004984;;2921.00;2759
5917;фриз 4.33.201;4.33.201;N;ВР001005032;;6811.00;6431
5918;фриз 4.33.202;4.33.202;N;ВР001005054;;3699.00;3494
5919;архитрав 4.04.201;4.04.201;N;ВР001005014;;4865.00;4595
5920;архитрав 4.34.201;4.34.201;N;ВР001005034;;4475.00;4228
5921;архитрав 4.34.202;4.34.202;N;ВР001005056;;3891.00;3676
5922;архитрав 4.04.101;4.04.101;N;ВР001004942;N;3891.00;3676
5923;архитрав 4.04.102;4.04.102;N;ВР001022587;;5253.00;4963
5924;архитрав 4.04.202;4.04.202;N;ВР001022583;;6226.00;5883
5925;архитрав 4.04.301;4.04.301;N;ВР001005071;;3699.00;3494
5926;архитрав 4.04.302;4.04.302;N;ВР001022582;;6226.00;5883
5927;архитрав 4.34.101;4.34.101;N;ВР001004968;N;5836.00;5512
5928;архитрав 4.34.102;4.34.102;N;ВР001004986;;3503.00;3309
5929;архитрав 4.34.301;4.34.301;N;ВР001005095;;4865.00;4595
5930;архитрав 4.34.302;4.34.302;N;ВР001005118;;3503.00;3309
5931;балясина 4.71.101;4.71.101;N;ВР001022924;N;2921.00;2759
5932;балясина 4.71.201;4.71.201;N;ВР001023164;N;2530.00;2392
5933;столб 4.75.101;4.75.101;N;ВР001023167;N;9726.00;9188
5934;столб 4.75.201;4.75.201;N;ВР001023168;N;7780.00;7348
5935;крышка (пирамида) 4.76.101;4.76.101;N;ВР001023169;N;1558.00;1473
5936;крышка (пирамида) 4.76.201;4.76.201;N;ВР001023170;N;880.00;834
5937;крышка столба (плоская) 4.73.101;4.73.101;N;ВР002025317;N;1270.00;1202
5938;крышка столба (плоская) 4.73.201;4.73.201;N;ВР002025318;N;975.00;923
5939;крышка (шар) 4.77.101;4.77.101;N;ВР001023309;N;1558.00;1473
5940;крышка (шар) 4.77.201;4.77.201;N;ВР001023310;N;1270.00;1202
5941;основание 4.74.101;4.74.101;N;ВР001022926;N;16532.00;15617
5942;основание 4.74.201;4.74.201;N;ВР001023165;N;13615.00;12860
5943;поручень 4.72.101;4.72.101;N;ВР001022925;N;14200.00;13414
5944;поручень 4.72.201;4.72.201;N;ВР001023166;N;12644.00;11945
5945;наличник 4.84.001;4.84.001;N;ВР001004990;;4865.00;4595
5946;наличник 4.84.002;4.84.002;N;ВР001022044;;4197.00;3964
5947;наличник 4.84.003;4.84.003;N;ВР001022045;;3237.00;3058
5948;наличник 4.84.051;4.84.051;N;ВР001023652;;5058.00;4778
5949;наличник 4.84.052;4.84.052;N;ВР001023653;;4006.00;3785
5950;наличник 4.84.053;4.84.053;N;ВР001023654;;3057.00;2889
5951;арочное обрамление 4.87.031;4.87.031;N;ВР001022561;;4475.00;4228
5952;арочное обрамление 4.87.032;4.87.032;N;ВР001022558;;3601.00;3401
5953;арочное обрамление 4.87.033;4.87.033;N;ВР001022555;;2336.00;2207
5954;замковый камень 4.85.001;4.85.001;N;ВР001004993;;1327.00;1254
5955;замковый камень 4.85.002;4.85.002;N;ВР001022061;;1169.00;1106
5956;замковый камень 4.85.003;4.85.003;N;ВР001022062;;1169.00;1106
5957;подоконный элемент 4.82.001;4.82.001;N;ВР001004991;;5836.00;5512
5958;подоконный элемент 4.82.002;4.82.002;N;ВР001022047;;3891.00;3676
5959;подоконный элемент 4.82.003;4.82.003;N;ВР001022046;;3891.00;3676
5960;подоконный элемент 4.82.101;4.82.101;N;ВР001004973;;2823.00;2666
5961;подоконный элемент 4.82.201;4.82.201;N;ВР001005044;;2921.00;2759
5962;подоконный элемент 4.82.202;4.82.202;N;ВР001005062;;2921.00;2759
5963;подоконный элемент 4.82.301;4.82.301;N;ВР001005107;;2921.00;2759
5964;подоконный элемент 4.82.302;4.82.302;N;ВР001005125;;2921.00;2759
5965;кронштейн-пьедестал 4.83.101;4.83.101;N;ВР001004972;;3112.00;2942
5966;кронштейн-пьедестал 4.83.102;4.83.102;N;ВР001004989;;1900.00;1797
5967;кронштейн-пьедестал 4.83.201;4.83.201;N;ВР001005045;;2142.00;2025
5968;кронштейн-пьедестал 4.83.202;4.83.202;N;ВР001005063;;2193.00;2071
5969;кронштейн-пьедестал 4.83.301;4.83.301;N;ВР001005105;;1946.00;1840
5970;кронштейн-пьедестал 4.83.302;4.83.302;N;ВР001005126;;1752.00;1654
5971;руст 4.86.003;4.86.003;N;ВР001024402;;1270.00;1202
5972;руст 4.86.004;4.86.004;N;ВР001024403;;780.00;738
5973;руст 4.86.005;4.86.005;N;ВР002025465;;1270.00;1202
5974;руст 4.86.001;4.86.001;N;ВР001005002;;2142.00;2025
5975;руст 4.86.002;4.86.002;N;ВР001005003;;1363.00;1291
5982;угловой элемент 1.52.361;1.52.361;N;ВР002025527;;610.00;597
5983;база 4.17.302;4.17.302;N;ВР001005079;;2724.00;2574
5984;база 4.53.201;4.53.201;N;ВР001005061;;1026.00;969
5985;база 4.53.301;4.53.301;N;ВР001005123;;733.00;695
5986;база 4.17.101;4.17.101;N;ВР001004952;;2724.00;2574
5987;база 4.17.201;4.17.201;N;ВР001005018;;2724.00;2574
5988;база 4.17.202;4.17.202;N;ВР001005019;;1946.00;1840
5989;база 4.17.301;4.17.301;N;ВР001005078;;2142.00;2025
5990;база 4.23.101;4.23.101;N;ВР001022016;N;2046.00;1936
5991;база 4.23.201;4.23.201;N;ВР001022017;;2046.00;1936
5992;база 4.23.301;4.23.301;N;ВР001022018;;2046.00;1936
5993;база 4.43.101;4.43.101;N;ВР001004966;;2441.00;2306
5994;база 4.43.201;4.43.201;N;ВР001005042;;2250.00;2128
5995;база 4.43.202;4.43.202;N;ВР001005043;;2570.00;2429
5996;база 4.43.301;4.43.301;N;ВР001005099;;2570.00;2429
5997;база 4.43.302;4.43.302;N;ВР001005100;;2570.00;2429
5998;база 4.47.101;4.47.101;N;ВР001004963;;1111.00;1052
5999;база 4.47.201;4.47.201;N;ВР001005038;;1026.00;969
6000;база 4.47.202;4.47.202;N;ВР001005039;;1169.00;1106
6001;база 4.47.301;4.47.301;N;ВР001005103;;1169.00;1106
6002;база 4.47.302;4.47.302;N;ВР001005104;;1169.00;1106
6003;база 4.53.101;4.53.101;N;ВР001004983;;880.00;834
6004;база 4.53.302;4.53.302;N;ВР001005124;;733.00;695
6005;база 4.13.101;4.13.101;N;ВР001004956;;5992.00;5661
6006;база 4.13.201;4.13.201;N;ВР001005022;;5992.00;5661
