IE_XML_ID;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP148
5330;;96;250;;;;34;
5331;;310;115;;;;11;
5332;;310;115;;;;11;
5333;;98;98;;;;30;
5334;;96;96;;;;30;
5335;1262;;198;;;;25;
5336;2000;;238;;;;25;
5337;;155;119;;;;19;
5338;;233;133;;;;28;
5339;;325;136;;;;19;
5340;;156;116;;;;11;
5341;;728;116;;;;9;
5342;;433;114;;;;16;
5343;;;2345;;250;;;
5861;2000;;;;;;;
5862;2000;;;;;;;
5863;2000;;;;;;;
5864;2000;;;;;;;
5865;2000;;;;;;;
5866;2000;;;;;;22;
5867;2000;;;;;;12;
5868;2000;;;;;;18;
5869;2000;;;;;;28;
5870;2000;;;;;;24;
5871;2000;;;;;;22;1500
5872;2000;;;;;;12;1500
5873;2000;;;;;;18;2000
5874;2000;;;;;;28;1500
5875;2000;;;;;;24;3500
5876;2000;83;131;130;;;;
5877;2000;89;130;130;;;;
5878;2000;91;130;130;;;;
5879;;;;;886;;62;
5880;;276;695;276;;;;
5881;;417;755;;;;113;
5882;;700;1132;;;;106;
5883;;304;590;94;;;;
5884;;553;975;180;;;;
5885;1280;;146;;;;57;
5886;1280;;146;;;;57;
5887;2000;270;250;;;;;
5888;2000;283;278;;;;;
5889;2000;355;250;;;;;
5890;2000;308;297;;;;;
5891;2000;192;172;;;;;
5892;2000;360;265;;;;;
5893;2000;258;202;;;;;
5894;2000;192;174;;;;;
5895;2000;108;365;;;;;
5896;2000;206;195;;;;;
5897;2000;284;282;;;;;
5898;2000;306;297;;;;;
5899;2000;308;259;;;;;
5900;2000;310;183;;;;;
5901;2000;250;172;;;;;
5902;2000;250;170;;;;;
5903;2000;257;200;;;;;
5904;2000;202;168;;;;;
5905;2000;205;194;;;;;
5906;2000;96;290;;;;;
5907;2000;293;268;;;;;
5908;2000;30;244;;;;;
5909;2000;70;235;;;;;
5910;2000;31;218;;;;;
5911;2000;62;191;;;;;
5912;2000;42;198;;;;;
5913;2000;83;129;;;;;
5914;2000;74;170;;;;;
5915;2000;92;165;;;;;
5916;2000;42;165;;;;;
5917;2000;80;146;;;;;
5918;2000;42;146;;;;;
5919;2000;70;189;;;;;
5920;2000;109;125;;;;;
5921;2000;68;125;;;;;
5922;2000;56;168;;;;;
5923;2000;90;152;;;;;
5924;2000;97;169;;;;;
5925;2000;67;208;;;;;
5926;2000;95;173;;;;;
5927;2000;109;112;;;;;
5928;2000;59;112;;;;;
5929;2000;100;137;;;;;
5930;2000;68;138;;;;;
5931;;120;785;120;;;;
5932;;90;789;90;;;;
5933;;220;1020;220;;;;
5934;;180;1020;180;;;;
5935;;270;83;270;;;;
5936;;220;70;220;;;;
5937;;268;55;268;;;;
5938;;220;50;220;;;;
5939;;;235;;180;;;
5940;;;196;;150;;;
5941;;3000;100;180;;;;
5942;;3000;88;140;;;;
5943;3000;190;110;;;;;
5944;3000;150;100;;;;;
5945;2000;183;;50;;;;
5946;2300;160;;40;;;;
5947;2300;140;;37;;;;
5948;2300;183;;50;;;;
5949;2000;160;;40;;;;
5950;2000;140;;37;;;;
5951;;183;1150;50;;750;;
5952;;160;1030;40;;700;;
5953;;140;;37;;600;;
5954;;294;281;65;;;;
5955;;222;234;67;;;;
5956;;200;213;54;;;;
5957;2000;;160;100;;;;
5958;2000;;126;95;;;;
5959;2000;;111;86;;;;
5960;2000;;105;48;;;;
5961;2000;;95;60;;;;
5962;2000;;95;53;;;;
5963;2000;;109;61;;;;
5964;2000;;109;54;;;;
5965;;393;274;195;;;;
5966;;356;240;128;;;;
5967;;392;277;196;;;;
5968;;358;263;133;;;;
5969;;366;272;181;;;;
5970;;334;268;130;;;;
5971;;375;250;40;;;;
5972;;250;250;40;;;;
5973;;360;290;42;;;;
5974;;555;290;42;;;;
5975;;548;215;38;;;;
5982;;290;290;;;;28;
5983;;370;164;184;;;;
5984;;252;120;80;;;;
5985;;226;109;76;;;;
5986;;435;180;218;;;;
5987;;410;170;207;;;;
5988;;410;170;206;;;;
5989;;370;164;184;;;;
5990;;405;181;125;;;;
5991;;376;172;119;;;;
5992;;350;161;113;;;;
5993;;296;120;296;;;;
5994;;272;115;272;;;;
5995;;272;115;272;;;;
5996;;244;108;244;;;;
5997;;244;108;244;;;;
5998;;292;120;148;;;;
5999;;272;115;136;;;;
6000;;272;115;136;;;;
6001;;244;108;122;;;;
6002;;244;108;122;;;;
6003;;260;120;80;;;;
6004;;226;109;77;;;;
6005;;435;179;435;;;;
6006;;;170;414;;;;
6007;;412;170;412;;;;
6008;;370;164;370;;;;
6009;;370;164;370;;;;
6010;;507;217;253;;;;
6011;;482;199;242;;;;
6012;;276;205;99;;;;
6013;;408;180;204;;;;
6014;;430;162;181;;;;
6015;;395;311;206;;;;
6016;;406;178;124;;;;
6017;;446;163;97;;;;
6018;;418;318;151;;;;
6019;;270;127;270;;;;
6020;;294;116;242;;;;
6021;;265;208;265;;;;
6022;;270;127;135;;;;
6023;;294;116;120;;;;
6024;;265;208;132;;;;
6025;;260;125;80;;;;
6026;;306;116;67;;;;
6027;;408;180;408;;;;
6028;;430;162;362;;;;
6029;;395;311;409;;;;
6030;;544;240;272;;;;
6031;120;;19;8;;;;
6032;167;;30;12;;;;
6033;127;;190;58;;;;
6034;132;;85;41;;;;
6035;132;;142;41;;;;
6036;213;;190;62;;;;
6037;;86;127;54;;;;
6038;;83;88;46;;;;
6039;;57;83;33;;;;
6040;;55;67;33;;;;
6041;;120;165;10;;;;
6042;;168;244;12;;;;
6043;;210/184;1520;54;;;;
6044;;186/158;1455;55;;;;
6045;;330;2300;155/165;;;;
6046;;330;2300;155/166;;;;
6047;;295;2395;147/148;;;;
6048;;295;2400;147/148;;;;
6049;;272;2210;135/136;;;;
6050;;332/298;2310;88/70;;;;
6051;;332/298;2310;88/70;;;;
6052;;260;2350;62;;;;
6053;;260;2350;62;;;;
6054;;292/248;2200;86/62;;;;
6055;;292/248;2200;86/62;;;;
6056;;220;1520;220;;;;
6057;;196;1580;196;;;;
6058;;178;1455;178;;;;
6059;;219;1518;110;;;;
6060;;196;1580;98;;;;
6061;;178;1460;89;;;;
6062;;210/184;1520;54;;;;
6063;;175;2000;42;;;;
6064;;175;2020;42;;;;
6065;;186/158;1455;55;;;;
6066;;434/362;350;217/180;;;;
6067;;362;700;180;;;;
6068;;272;2210;272;;;;
6069;;330;2300;330;;;;
6070;;330;2300;330;;;;
6071;;295;2390;295;;;;
6072;;295;2390;295;;;;
6104;;;;;;;;
6105;;;;;;;;
6107;;;;;;;;
6108;2000;;;;;;;
6109;2000;;;;;;;
6110;2000;;;;;;;
6111;2000;;;;;;;
6112;2000;;;;;;16;
6113;2000;;;;;;16;1500
6114;2000;;;;;;9;
6115;2000;;;;;;9;2000
6135;2000;12;400;;;;;
6168;;1300;239;201;;;;
6169;;152;860;170;;;;
6171;;152;860;170;;;;
6172;2000;;;;;;;
6173;2000;;;;;;;
6174;2000;;;;;;;
6175;2000;;;;;;;
6176;2000;;;;;;;
6177;2000;;;;;;;
6178;2000;;;;;;;
6179;2000;;;;;;16;
6180;;;;;705;;50;
6181;;785;544;;;;51;
6182;;184;185;102;;;;
6183;;163;225;85;;;;
6184;;152;98;45;;;;
6185;;96;2000;17;;;;
6186;;117;255;25;;;;
6188;2000;200;200;;;;;
6189;2000;200;300;;;;;
6194;2000;;;;;;;
6195;2000;;;;;;;
6196;2000;;;;;;;
6198;;256;206;75;;;;
6199;;255;306;75;;;;
6200;2000;250;350;;;;;
6201;2000;121;;35;;;;
6202;;157;101;46;;;;
6206;2000;;;;;;12;
6207;2000;;;;;;;
6208;2000;;;;;;12;
6211;2000;101;;49;;;;
6212;2000;202;;60;;;;
6213;2000;130;250;;;;;
6214;2000;165;201;;;;;
6215;2000;51;131;;;;;
6216;;174;116;48;;;;
6217;;362;700;180;;;;
6218;;362;700;180;;;;
6313;2000;;;;;;16;2500
6355;;110;110;;;;12;
6356;;250;250;;;;25;
6357;;199;199;;;;12;
6358;;300;300;;;;20;
6359;2000;;;;;;;
6362;2000;;;;;;;
6363;2000;;;;;;;
6364;2000;;;;;;;
6365;2000;;;;;;;
6366;2000;;;;;;;
6367;;;;;620;;41;
6368;2000;;;;;;17;
6369;2000;;;;;;17;1500
6370;2000;;;;;;13;
6371;2000;;;;;;13;1500
6372;2000;;;;;;10;
6373;2000;;;;;;10;2000
6374;2000;;;;;;15;
6375;2000;;;;;;15;1000
6376;2000;;;;;;;
6377;2000;;;;;;;
6380;2000;;;;;;;
6381;2000;;;;;;;
6382;2000;;;;;;;
6385;;435;350;217;;;;
6386;;364;705;182;;;;
6387;;364;350;182;;;;
6388;;635;241;270;;;;
6389;;655;512;328;;;;
6390;;544;240;544;;;;
6391;;635;241;540;;;;
6392;;655;512;655;;;;
6393;;482;199;482;;;;
6394;;434/362;350;434/362;;;;
6395;;362;700;362;;;;
6396;;435;350;435;;;;
6397;;364;700;364;;;;
6398;;364;350;364;;;;
6423;2000;;;;;;;
6424;2000;;;;;;;
6429;;;;;;;;
6430;;108;228;;;;29;
6431;;109;109;;;;28;
6432;;109;109;;;;28;
6433;;108;228;;;;29;
6434;;181;181;;;;24;
6435;2000;;;;;;24;
6436;2000;;;;;;24;1500
6438;2000;;;;;;;
6439;2000;;;;;;40;
6440;;385;209;;;;32;
6441;;604;189;;;;50;
6442;;51;155;;;;7;
6443;;51;155;;;;7;
6444;;51;131;51;;;;
6445;;250;170;250;;;;
6446;;96;290;96;;;;
6447;;108;365;108;;;;
6448;;302;168;302;;;;
6449;;306;195;306;;;;
6450;;196;290;196;;;;
6451;;208;365;208;;;;
6452;;350;170;350;;;;
6453;;292;174;292;;;;
6454;;196;290;196;;;;
6455;;208;365;208;;;;
6456;;240;60;184;;;;
6457;;220;50;110;;;;
6458;;270;85;135;;;;
6459;;3000;100;90;;;;
6460;;3000;110;95;;;;
6461;;220;1020;110;;;;
6462;;180;1020;90;;;;
6463;;293;268;293;;;;
6464;;30;244;30;;;;
6465;;70;235;70;;;;
6466;;74;170;74;;;;
6467;;120;785;60;;;;
6468;;90;789;45;;;;
6469;;83;129;83;;;;
6470;;109;112;109;;;;
6471;;109;125;109;;;;
6472;;306;195;306;;;;
6473;;205;194;205;;;;
6474;;206;195;206;;;;
6475;;42;165;42;;;;
6476;;42;146;42;;;;
6477;;67;208;67;;;;
6478;;455;250;455;;;;
6479;;460;265;460;;;;
6480;;383;278;383;;;;
6481;;384;282;384;;;;
6482;;408;297;408;;;;
6483;;407;259;407;;;;
6484;;370;250;370;;;;
6485;;393;268;393;;;;
6486;;455;250;455;;;;
6487;;460;265;460;;;;
6488;;383;278;383;;;;
6489;;384;282;384;;;;
6490;;408;297;408;;;;
6491;;406;297;406;;;;
6492;;407;259;407;;;;
6498;2000;;;;;;;
6499;2000;;;;;;;
6500;2000;;;;;;;
6501;;;;;;;;
6502;;292;172;292;;;;
6503;;302;168;302;;;;
6504;;202;168;202;;;;
6515;;268;55;134;;;;
6516;;3000;100;75;;;;
6517;;3000;88;70;;;;
6518;;220;70;110;;;;
6538;;175;151;;;;30;
6539;;394;220;;;;31;
6540;2000;;;;;;;
6541;2000;;;;;;9;
6542;2000;;;;;;9;3000
6544;;305;194;305;;;;
6545;;305;194;305;;;;
6546;;192;174;192;;;;
6547;;817;230;;;;44;
6548;;895;318;;;;50;
6549;;236;191;;;;24;
6550;;269;152;;;;31;
6551;;408;120;;;;20;
6552;;119;229;81;;;;
6553;2000;;;;;;;
6554;2000;;;;;;;
6555;2000;;;;;;;
6564;2000;;;;;;;
6565;2000;;;;;;;
6566;2000;;;;;;20;
6581;2000;;;;;;;
6582;2000;;;;;;;
6583;;263;95;;;;12;
6584;2000;;;;;;21;
6585;;217;100;;;;19;
6586;;285;154;;;;22;
6587;2000;;;;;;;
6588;;538;440;;;;32;
6589;;232;141;;;;28;
6590;;296;158;;;;30;
6591;;296;158;;;;30;
6594;;364;705;182;;;;
6595;;364;705;182;;;;
6598;;507;217;507;;;;
6599;;362;700;362;;;;
6600;;362;700;362;;;;
6601;;364;700;364;;;;
6602;;364;700;364;;;;
6611;2000;;;;;;;
6612;2000;;;;;;20;2000
6613;;406;297;406;;;;
6614;902;;510;;;;54;
6615;;463;182;;;;44;
6616;;52;166;;;;28;
