IE_XML_ID;IE_NAME;IP_PROP157;IP_PROP160;IP_PROP253;IP_PROP257;IP_PROP258;CV_PRICE_1
6469;торцевой элемент 4.33.331;Нет;ВР001005094;1930;6,96;6,96;391.00
6470;торцевой элемент 4.34.131;Нет;ВР001004969;3157;11,46;11,46;639.00
6471;торцевой элемент 4.34.231;Нет;ВР001005035;2417;9,01;9,01;489.00
6472;внутренний угол 4.32.322;Нет;ВР001005114;13471;48,3;48,3;2733.00
6473;торцевой элемент 4.32.331;Нет;ВР001005111;9846;35,61;35,61;1998.00
6474;торцевой элемент 4.32.332;Нет;ВР001005115;9053;32,75;32,75;1837.00
6475;торцевой элемент 4.33.132;Нет;ВР001004985;1930;6,96;6,96;391.00
6476;торцевой элемент 4.33.232;Нет;ВР001005055;1930;6,96;6,96;391.00
6477;торцевой элемент 4.04.331;Нет;ВР001005073;1833;6,96;6,96;391.00
6478;внешний угол 4.01.111;Нет;ВР001004935;24858;94,14;94,14;5312.00
6479;внешний угол 4.01.113;Нет;ВР001004939;37690;142,44;142,44;8055.00
6480;внешний угол 4.01.211;Нет;ВР001005005;24550;92,92;92,92;5246.00
6481;внешний угол 4.01.212;Нет;ВР001005009;26298;99,47;99,47;5619.00
6482;внешний угол 4.01.311;Нет;ВР001005065;24259;91,69;91,69;5186.00
6483;внешний угол 4.02.111;Нет;ВР001023603;27994;106,01;106,01;5984.00
6484;внешний угол 4.02.211;Нет;ВР001023615;23248;88;88;4968.00
6485;внешний угол 4.02.311;Нет;ВР001023616;26965;101,92;101,92;5764.00
6486;внутренний угол 4.01.121;Нет;ВР001004936;24858;94,14;94,14;5312.00
6487;внутренний угол 4.01.123;Нет;ВР001004940;37690;142,44;142,44;8055.00
6488;внутренний угол 4.01.221;Нет;ВР001005006;24550;92,92;92,92;5246.00
6489;внутренний угол 4.01.222;Нет;ВР001005010;26298;99,47;99,47;5619.00
6490;внутренний угол 4.01.321;Нет;ВР001005066;24259;91,69;91,69;5186.00
6491;внутренний угол 4.01.322;Нет;ВР001005070;26127;99,06;99,06;5584.00
6492;внутренний угол 4.02.121;Нет;ВР001023604;27994;106,01;106,01;5984.00
6498;карниз 1.50.284;Нет;ВР002028688;5797;18,5;18,5;1291.00
6499;карниз 1.50.284 гибкий;Да;ВР002028718;11594;36,99;36,99;2581.00
6500;карниз 1.50.283;Нет;ВР002028627;5580;18,1;18,1;1246.00
6501;МОНТАЖНЫЙ КОМПЛЕКТ;Нет;ЧХ002025780;53400;100,95;100,95;8900.00
6502;внешний угол 4.32.212;Нет;ВР001005051;14158;50,76;50,76;2872.00
6503;внутренний угол 4.32.121;Нет;ВР001004978;11506;41,34;41,34;2336.00
6504;торцевой элемент 4.32.131;Нет;ВР001004979;7754;27,83;27,83;1575.00
6515;полукрышка 4.73.111;Нет;ВР002025580;3324;12,69;12,69;709.00
6516;полупоручень 4.72.211;Нет;ВР002027721;32277;121,98;121,98;6898.00
6517;полуоснование 4.74.211;Нет;ВР002027719;34761;131,39;131,39;7428.00
6518;полукрышка пирамида 4.76.211;Нет;ВР002027718;2501;9,41;9,41;532.00
6538;орнамент 1.60.026;Нет;ВР002028698;2280;7,01;7,01;485.00
6539;орнамент 1.60.029;Нет;ВР002028747;6882;20,65;20,65;1455.00
6540;карниз 1.50.281;Нет;ВР002028353;16452;52,34;52,34;3669.00
6541;молдинг 1.51.374;Нет;ВР002028751;7459;23,77;23,77;1663.00
6542;молдинг 1.51.374 гибкий;Да;ВР002028752;14918;47,54;47,54;3325.00
6544;внешний угол 4.32.311;Нет;ВР001005109;14626;52,8;52,8;2969.00
6545;внутренний угол 4.32.321;Нет;ВР001005110;14626;52,8;52,8;2969.00
6546;торцевой элемент 4.32.231;Нет;ВР001005049;9652;33,56;33,56;1898.00
6547;орнамент 1.60.021;Нет;ВР002028357;12699;38,2;38,2;2689.00
6548;орнамент 1.60.022;Нет;ВР002028358;16597;49,9;49,9;3515.00
6549;орнамент 1.60.024;Нет;ВР002028635;6121;18,32;18,32;1298.00
6550;орнамент 1.60.027;Нет;ВР002028699;6121;18,32;18,32;1298.00
6551;орнамент 1.60.028;Нет;ВР002028700;7851;23,77;23,77;1665.00
6552;кронштейн 1.19.010;Нет;ВР002028008;7711;24,55;24,55;1719.00
6553;карниз 1.50.285;Нет;ВР002028690;12605;40,15;40,15;2811.00
6554;карниз 1.50.286;Нет;ВР002028692;6231;20,07;20,07;1387.00
6555;карниз 1.50.282;Нет;ВР002028629;5580;18,1;18,1;1246.00
6564;карниз 1.50.286 гибкий;Да;ВР002028720;12461;40,15;40,15;2774.00
6565;карниз 1.50.288;Нет;ВР002029530;5580;18,1;18,1;1246.00
6566;молдинг 1.51.375;Нет;ВР002029527;4714;14,81;14,81;1053.00
6581;карниз 1.50.288 гибкий;Да;ВР002029531;11160;36,21;36,21;2490.00
6582;карниз 1.50.280 гибкий;Да;ВР002028714;32255;103,13;103,13;7191.00
6583;орнамент 1.60.034;Нет;ВР002029484;5780;17,54;17,54;1223.00
6584;молдинг 1.51.373;Нет;ВР002028696;7730;24,55;24,55;1721.00
6585;орнамент 1.60.033;Нет;ВР002029483;5875;17,54;17,54;1242.00
6586;орнамент 1.60.030;Нет;ВР002028748;5893;17,93;17,93;1247.00
6587;карниз 1.50.277;Нет;ВР002027953;12444;39,75;39,75;2774.00
6588;розетка 1.56.008;Нет;ВР001023161;10168;32,34;32,34;2268.00
6589;орнамент 1.60.031;Нет;ВР002028749;5837;17,54;17,54;1237.00
6590;орнамент 1.60.123;Нет;ВР002028636;7167;21,43;21,43;1516.00
6591;орнамент 1.60.023;Нет;ВР002028634;7167;21,43;21,43;1516.00
6594;ствол 4.16.004;Нет;ВР002025491;18125;68,77;68,77;3874.00
6595;ствол 4.16.004;Нет;ВР002025491;18125;68,77;68,77;3874.00
6598;база 4.13.002;Нет;ВР002028129;34590;131,1;131,1;7392.00
