IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4890;карниз;2000;1.50.260;133;166;;;;;;;;;;;;ВР000006884;;5;82,8;;Интерьерный декор;карнизы;;1584.00
4891;карниз;1980;1.50.261;102;101;;;;;;;;;;;;ВР001000006;;4;72,5;;Интерьерный декор;карнизы;;1174.00
4892;карниз;2000;1.50.262;50;120;;;;;;;;;;;;ВР001000028;;4;72,5;;Интерьерный декор;карнизы;;1318.00
4893;карниз;2000;1.50.264;170;170;;;;;;;;;;;;ВР001002926;;5;82,8;;Интерьерный декор;карнизы;;1616.00
4894;карниз;2000;1.50.265;21;115;;;;;;;;;;;;ВР001007508;;4;72,5;;Интерьерный декор;карнизы;;692.00
4895;карниз;2000;1.50.266;21;75;;;;;;;;;;;;ВР001007509;;4;72,5;;Интерьерный декор;карнизы;;623.00
4896;карниз;2000;1.50.267;33;172;;;;;;;;;;;;ВР001007510;;5;82,8;;Интерьерный декор;карнизы;;1323.00
4897;карниз;2000;1.50.268;32;170;;;;;;;;;;;;ВР001007511;;5;82,8;;Интерьерный декор;карнизы;;1361.00
4898;карниз;2000;1.50.269;47;220;;;;;;;;;;;;ВР001007512;;5;82,8;;Интерьерный декор;карнизы;;1435.00
4899;карниз;2000;1.50.270;47;220;;;;;;;;;;;;ВР001007513;;5;82,8;;Интерьерный декор;карнизы;;1544.00
4900;карниз;2000;1.50.271;165;226;;;;;;;;;;;;ВР002025312;;;;;Интерьерный декор;карнизы;;1978.00
4901;карниз;2000;1.50.273;130;198;;;;;;;;;;;;ВР002025512;;;;;Интерьерный декор;карнизы;;2279.00
4902;карниз FLEX;2000;1.50.114;30;67;1500;1000;;;;;;;;;;ВР000005865;;4;72,5;;Интерьерный декор;гибкие карнизы;;1228.00
