IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP726;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP158;IP_PROP159;IP_PROP160;IP_PROP161;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP165;IP_PROP166;IP_PROP167;IP_PROP409;IP_PROP410;IP_PROP411;IP_PROP412;IP_PROP413;IP_PROP414;IP_PROP446;IP_PROP544;IP_PROP545;IP_PROP546;IP_PROP547;IP_PROP580;IP_PROP596;IP_PROP612;IP_PROP616;IP_PROP617;IP_PROP619;IP_PROP620;IP_PROP659;IP_PROP660;IP_PROP661;IP_PROP662;IP_PROP670;IP_PROP705;IP_PROP732;IP_PROP733;IP_PROP746;IP_PROP747;IP_PROP748;IP_PROP749;IP_PROP408;IP_PROP618;IP_PROP149;IP_PROP180;IP_PROP183;IP_PROP181;IP_PROP182;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP256;IP_PROP257;IP_PROP258;IP_PROP565;IP_PROP600;IP_PROP706;IP_PROP707
4818;карниз;;;;2000;;;;1.50.146;76;149;;;;;N;N;;ВР000005175;КАРНИЗ 1.50.146;;7,05;69,75;N;N;;N;Y;N;N;Y;N;N;Y;N;N;N;N;N;N;;;;;800;Y;;ВР099022332;2534;;;;;;;;N;Y;;;N;N;N;;;;110,64;14007;973;703;16500;;;119,6;440902;500;31,3
4819;карниз;;;;2000;;;;1.50.147;125;173;;;;;N;N;;ВР000001182;КАРНИЗ 1.50.147;;7,18;77,25;N;;;N;Y;N;N;N;N;;N;Y;N;Y;;;;;;;;1000;Y;;ВР099022333;3133;;;;;;;;N;Y;;;;;;;;;136,79;17327;1204;869;20400;45,13;45,13;147,8;544875;550;31,9
4820;карниз;;;;2000;;;;1.50.148;120;117;;;;;N;N;;ВР000006025;КАРНИЗ 1.50.148;;3,88;69,75;N;N;;N;Y;N;N;Y;Y;;N;N;N;N;;;;;;;;900;Y;;ВР099022373;2668;;;;;;;;N;N;;;N;N;N;;;;116,42;14736;1024;740;17300;38,96;38,96;125,8;463953;500;17,2
4821;карниз;;;;2000;;;;1.50.149;188;185;;;;;N;N;;ВР001021963;КАРНИЗ 1.50.149;;4,50;78;N;;;;;N;N;N;N;;N;N;N;N;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;81,3;;;742;;;;107,6416;;;
4822;карниз;;;;2000;;;;1.50.150;40;41;;;;;N;N;;ВР000001054;КАРНИЗ 1.50.150;;1,05;60;N;N;;N;Y;N;N;N;N;N;N;N;Y;N;N;N;N;;;;;400;Y;;ВР099022334;1029;;;;;;;;N;Y;;;N;N;N;;;;44,92;5699;396;286;6800;15,15;15,15;48,5;179009;429;4,7
4823;карниз;;;;2000;;;;1.50.151;144;171;;;;;N;N;;ВР001021964;КАРНИЗ 1.50.151;;35,93;77,25;N;;;Y;N;Y;N;N;N;;N;N;N;N;;;;;;;;1300;Y;;ВР099022414;4035;;;;;Y;;2;N;N;;;;;;;;;176,31;22315;1551;1120;26400;58,87;58,87;190,6;702305;550;159,7
4824;карниз;;;;2000;;;;1.50.152;155;172;;;;;N;N;;ВР001021965;КАРНИЗ 1.50.152;;35,63;77,25;N;;;Y;N;Y;N;N;N;;N;N;N;N;;;;;;;;1300;Y;;ВР099022415;4035;;;;;Y;;55;N;N;;;;;;;;;176,31;22315;1551;1120;26400;58,87;58,87;190,6;702305;550;158,4
4825;карниз;;;;2000;;;;1.50.153;159;170;;;;;N;N;;ВР001021966;КАРНИЗ 1.50.153;;35,94;77,25;N;;;Y;N;Y;N;N;N;;Y;N;N;N;;;;;;;;1300;Y;;ВР099022416;4035;;;;;Y;;26;N;N;;;;;;;;;176,31;22315;1551;1120;26400;58,87;58,87;190,6;702305;550;159,7
4826;карниз;;;;2000;;;;1.50.154;23;23;;;;;N;N;;ВР001022849;КАРНИЗ 1.50.154;;0,44;60;N;;;N;Y;N;N;Y;N;;N;N;Y;N;;;;;;;;350;Y;;ВР099022374;940;;;;;;;;N;Y;;;;;;;;;40,97;5200;359;261;6100;13,84;13,84;44,2;163315;429;2
4827;карниз;;;;2000;;;;1.50.155;16;25;;;;;N;N;;ВР001022850;КАРНИЗ 1.50.155;;0,51;60;N;;;N;Y;N;N;Y;N;;N;N;Y;N;;;;;;;;350;Y;;ВР099022375;933;;;;;;;;N;Y;;;;;;;;;40,64;5143;357;258;6100;13,84;13,84;43,9;162335;429;2,3
