IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP167;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4884;карниз;2000;;;;1.50.254;93;130;;;;;;;;Нет;;ВР000005595;;4;72,5;;;Интерьерный декор;карнизы;;1111.00
4885;карниз;2000;;;;1.50.255;82;127;;;;;;;;Нет;;ВР000005644;;4;72,5;;;Интерьерный декор;карнизы;;1250.00
4886;карниз;2000;;;;1.50.256;134;173;;;;;;;;Нет;;ВР000005750;;5;82,8;;;Интерьерный декор;карнизы;;1436.00
4887;карниз;2000;;;;1.50.257;39;39;;;;;;;;Нет;;ВР000005752;;4;72,5;;;Интерьерный декор;карнизы;;511.00
4888;карниз;2000;;;;1.50.258;25;27;;;;;;;;Нет;;ВР000005754;;4;72,5;;;Интерьерный декор;карнизы;;471.00
4889;карниз;2000;;;;1.50.259;36;81;;;;;;;;Нет;;ВР000005756;;4;72,5;;;Интерьерный декор;карнизы;;675.00
4890;карниз;2000;;;;1.50.260;133;166;;;;;;;;Нет;;ВР000006884;;5;82,8;;;Интерьерный декор;карнизы;;1743.00
4891;карниз;1980;;;;1.50.261;102;101;;;;;;;;Нет;;ВР001000006;;4;72,5;;;Интерьерный декор;карнизы;;1292.00
4892;карниз;2000;;;;1.50.262;50;120;;;;;;;;Нет;;ВР001000028;;4;72,5;;;Интерьерный декор;карнизы;;1450.00
4893;карниз;2000;;;;1.50.264;170;170;;;;;;;;Нет;;ВР001002926;;5;82,8;;;Интерьерный декор;карнизы;;1778.00
4894;карниз;2000;;;;1.50.265;21;115;;;;;;;;Нет;;ВР001007508;;4;72,5;;;Интерьерный декор;карнизы;;762.00
4895;карниз;2000;;;;1.50.266;21;75;;;;;;;;Нет;;ВР001007509;;4;72,5;;;Интерьерный декор;карнизы;;686.00
4896;карниз;2000;;;;1.50.267;33;172;;;;;;;;Нет;;ВР001007510;;5;82,8;;;Интерьерный декор;карнизы;;1456.00
4897;карниз;2000;;;;1.50.268;32;170;;;;;;;;Нет;;ВР001007511;;5;82,8;;;Интерьерный декор;карнизы;;1498.00
4898;карниз;2000;;;;1.50.269;47;220;;;;;;;;Нет;;ВР001007512;;5;82,8;;;Интерьерный декор;карнизы;;1579.00
4899;карниз;2000;;;;1.50.270;47;220;;;;;;;;Нет;;ВР001007513;;5;82,8;;;Интерьерный декор;карнизы;;1699.00
4900;карниз;2000;;;;1.50.271;165;226;;;;;;;;Нет;;ВР002025312;;;;;;Интерьерный декор;карнизы;;2176.00
4901;карниз;2000;;;;1.50.273;130;198;;;;;;;;Нет;;ВР002025512;;;;;;Интерьерный декор;карнизы;;2507.00
