IE_XML_ID;IP_PROP726;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154
5244;;;269;151;269;1.11.005;;;;
5245;;;280;109;276;1.11.006;;;;
5246;;;216;106;216;1.11.008;;;;
5247;;;234;92;188;1.11.009;;;;
5248;;;356;270;177;1.15.002;;;;
5249;;;390;170;195;1.15.003;;;;
5250;;;438;174;180;1.15.004;;;;
5251;;;271;151;135;1.15.005;;;;
5252;;;280;110;137;1.15.006;;;;
5253;;;216;105;108;1.15.008;;;;
5254;;;427;371;214;1.15.001;;;;
5255;;;237;94;92;1.15.009;;;;
5256;;;224;175;115;1.15.010;;;;
5257;;;354;220;97;1.21.003;;;;
5258;;;232;150;68;1.21.001;;;;
5259;;;419;346;112;1.21.002;;;;
5260;;;403;178;80;1.21.004;;;;
5261;;;602;180;80;1.21.005;;;;
5262;;;470;181;80;1.21.006;;;;
5263;;;345;219;95;1.21.007;;;;
5264;;;;2295;;1.12.020;;;;
5265;;;;2296;;1.12.010;;;;
5266;N;;;2300;;1.12.030;;;;
5267;;;;1955;;1.12.050;;;;
5268;;;;1826;;1.12.060;;;;
5269;;;;2472;;1.12.061;;;;
5270;;;;1751;;1.12.080;;;;
5271;;;;2399;;1.12.081;;;;
5272;;;;1870;;1.12.070;;;;
5273;;;;2517;;1.12.071;;;;
5274;;;156;1752;78;1.16.080;;;;
5275;;;155;2401;79;1.16.081;;;;
5276;N;;303;2298;152;1.16.030;;;;
5277;;;160;1873;79;1.16.070;;;;
5278;;;200;1956;100;1.16.050;;;;
5279;;;162;1827;80;1.16.060;;;;
5280;;;160;2519;78;1.16.071;;;;
5281;;;251;2298;125;1.16.010;;;;
5282;;;250;2345;125;1.16.011;;;;
5283;;;250;2300;125;1.16.020;;;;
5284;;;161;2475;81;1.16.061;;;;
5285;;;134;2000;19;1.22.010;;;;
5286;;;283;2000;41;1.22.020;;;;
5287;;;194;2000;20;1.22.030;;;;
5288;;;268;2295;30;1.22.200;;;;
5289;;;290;2000;30;1.22.040;;;;
5290;;;;;;1.11.100;;;;
5291;;;;;;1.11.200;;;;
5292;;;;;;1.11.300;;;;
5293;;;;;138;1.15.100;;;;
5294;;;;;138;1.15.200;;;;
5295;;;;;147;1.15.300;;;;
5296;;;214;118;214;1.13.900;;;;
5297;;;459;697;459;1.13.300;;;;
5298;;;427;169;427;1.13.400;;;;
5299;;;218;115;218;1.13.800;;;;
5300;;;261;110;261;1.13.500;;;;
5301;;;391;697;391;1.13.100;;;;
5302;;;377;171;377;1.13.200;;;;
5303;;;224;115;224;1.13.700;;;;
5304;;;214;119;106;1.17.900;;;;
5305;;;454;698;230;1.17.300;;;;
5306;;;426;170;212;1.17.400;;;;
5307;;;391;698;193;1.17.100;;;;
5308;;;219;115;109;1.17.800;;;;
5309;;;260;110;130;1.17.500;;;;
5310;;;275;695;140;1.17.600;;;;
5311;;;225;115;112;1.17.700;;;;
5312;;;378;171;188;1.17.200;;;;
5313;;;214;540;55;1.23.100;;;;
5314;;;542;372;85;1.23.200;;;;
5315;;;300;752;75;1.23.300;;;;
5316;;;390;905;70;1.23.400;;;;
5317;;;578;301;62;1.23.500;;;;
5318;;;318;645;318;1.14.001;;;;
5319;;;312;648;312;1.14.002;;;;
5320;;;299;648;299;1.14.003;;;;
5321;;;317;648;159;1.18.001;;;;
5322;;;311;679;156;1.18.002;;;;
5323;;;299;679;148;1.18.003;;;;
5324;;;96;248;;1.54.010;;;;
5325;;;134;51;;1.55.003;;;;
5326;;;231;51;;1.55.004;;;;
5327;;;648;320;;1.55.001;;;;
5328;;;93;126;;1.55.005;;;;
5329;;;648;320;;1.55.002;;;;
5330;;;96;250;;1.54.020;;;;
5331;;;310;115;;1.54.009;;;;
5332;;;310;115;;1.54.019;;;;
5333;;;98;98;;1.54.001;;;;
5334;;;96;96;;1.54.002;;;;
5335;;1262;;198;;1.54.003;;;;
5336;;2000;;238;;1.54.004;;;;
5337;;;155;119;;1.54.008;;;;
5338;;;233;133;;1.54.006;;;;
5339;;;325;136;;1.54.005;;;;
5340;;;156;116;;1.54.007;;;;
5341;;;728;116;;1.54.012;;;;
5342;;;433;114;;1.54.011;;;;
5343;;;;2345;;1.12.011;;;;
5344;;;232;2690;68;1.20.301;;;;
5345;;;419;2888;112;1.20.302;;;;
5346;;;419;3183;112;1.20.303;;;;
5347;;;470;2668;85;1.20.201;;;;
5348;;;470;2963;85;1.20.202;;;;
5349;;;403;3083;80;1.20.101;;;;
5350;;;602;наборная;80;1.20.102;;;;
5351;;;345;2971;95;1.20.001;;;;
5352;;;354;2972;97;1.20.002;;;;
5353;;;299;2725;148;1.10.301;;;;
5354;;;224;2695;115;1.10.302;;;;
5355;;;454;3367;230;1.10.303;;;;
5356;;;427;2839;214;1.10.304;;;;
5357;;;311;2728;156;1.10.201;;;;
5358;;;237;2695;109;1.10.202;;;;
5359;;;280;2846;140;1.10.203;;;;
5360;;;280;2151;137;1.10.204;;;;
5361;;;391;3147;195;1.10.205;;;;
5362;;;390;2620;195;1.10.206;;;;
5363;;;392;3125;196;1.10.207;;;;
5364;;;392;2685;194;1.10.208;;;;
5365;;;438;3170;193;1.10.209;;;;
5366;;;438;2643;188;1.10.210;;;;
5367;;;438;3217;193;1.10.211;;;;
5368;;;440;2644;190;1.10.212;;;;
5369;;;391;3149;195;1.10.213;;;;
5370;;;390;2622;195;1.10.214;;;;
5371;;;317;2695;159;1.10.101;;;;
5372;;;225;2695;112;1.10.102;;;;
5373;;;275;2912;140;1.10.103;;;;
5374;;;271;2217;135;1.10.104;;;;
5375;;;391;3268;193;1.10.105;;;;
5376;;;378;2741;188;1.10.106;;;;
5377;;;299;2692;299;1.30.301;;;;
5378;;;224;2692;224;1.30.302;;;;
5379;;;459;3367;459;1.30.303;;;;
5380;;;428;2840;428;1.30.304;;;;
5381;;;312;2692;312;1.30.201;;;;
