IE_XML_ID;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148
5191;;;;;1.56.010;;;;;;193;;34;;;
5192;;;;;1.56.028;;;;;;670;;65;;;
5193;;767;532;;1.56.029;;;;;;767;;45;;;
5194;;;;;1.56.030;;;;;;395;;37;;;
5195;;;;;1.56.003;;;;;;520;;35;;;
5196;;;;;1.56.031;;;;;;615;;50;;;
5197;;;;;1.56.021;;;;;;490;;60;;;
5198;;;;;1.56.026;;;;;;770;;54;;;
5199;;;;;1.56.006;;;;;;330;;25;;;
5200;;;;;1.56.009;;;;;;293;;31;;;
5201;;;;;1.56.032;;;;;;320;;38;;;
5202;;;;;1.56.011;;;;;;198;;21;;;
5203;;;;;1.56.037;;;;;;330;;34;;;
5204;;;;;1.56.034;;;;;;512;;49;;;
5205;;;;;1.56.033;;;;;;460;;55;;;
5206;;;;;1.56.038;;;;;;400;;32;;;
5207;;;;;1.56.012;;;;;;533;;45;;;
5208;;;;;1.56.027;;;;;;383;;29;;;
5209;;;;;1.56.039;;;;;;659;;68;;;
5210;;;;;1.56.035;;;;;;485;;40;;;
5211;;;;;1.56.042;;;;;;203;;42;;;
5212;;73;148;;1.60.114;;;;;;;;42;;;
5213;;73;148;;1.60.014;;;;;;;;42;;;
5214;;134;270;;1.60.011;;;;;;;;15;;;
5215;;134;270;;1.60.111;;;;;;;;15;;;
5216;;97;156;;1.60.007;;;;;;;;18;;;
5217;;70;86;;1.60.005;;;;;;;;15;;;
5218;;210;277;;1.60.012;;;;;;;;58;;;
5219;;28;82;;1.60.008;;;;;;;;8;;;
5220;;70;162;;1.60.010;;;;;;;;10;;;
5221;;415;110;;1.60.002;;;;;;;;19;;;
5222;;25;35;;1.60.003;;;;;;;;13;;;
5223;;35;53;;1.60.004;;;;;;;;15;;;
5224;;;;;1.60.006;;;;;;60;;10;;;
5225;;55;134;;1.60.009;;;;;;;;12;;;
5226;;51;120;;1.60.015;;;;;;;;22;;;
5227;;;;;1.60.017;;;;;;90;;15;;;
5228;;260;130;;1.60.018;;;;;;;;13;;;
5229;;234;248;;1.60.019;;;;;;;;22;;;
5230;;28;82;;1.60.108;;;;;;;;8;;;
5231;;55;134;;1.60.109;;;;;;;;12;;;
5232;;70;162;;1.60.110;;;;;;;;10;;;
5233;;160;135;;1.60.001;;;;;;;;15;;;
5234;;600;600;;1.57.002;;;;;;;;65;;;
