IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP254
5213;орнамент;1.60.014;Нет;312,23
5214;орнамент;1.60.011;Нет;135,83
5215;орнамент;1.60.111;Нет;135,83
5216;орнамент;1.60.007;Нет;125,25
5217;орнамент;1.60.005;Нет;125,25
5218;орнамент;1.60.012;Нет;338,69
5219;орнамент;1.60.008;Нет;118,19
5220;орнамент;1.60.010;Нет;119,95
5221;орнамент;1.60.002;Нет;135,83
5222;орнамент;1.60.003;Нет;118,19
5223;орнамент;1.60.004;Нет;119,95
5224;орнамент;1.60.006;Нет;121,72
5225;орнамент;1.60.009;Нет;119,95
5226;орнамент;1.60.015;Нет;125,25
5227;орнамент;1.60.017;Нет;135,83
5228;орнамент;1.60.018;Нет;139,36
5229;орнамент;1.60.019;Нет;338,69
5230;орнамент;1.60.108;Нет;118,19
5231;орнамент;1.60.109;Нет;119,95
5232;орнамент;1.60.110;Нет;119,95
5233;орнамент;1.60.001;Нет;123,48
5234;кессон;1.57.002;Нет;952,57
5235;кессон;1.57.003;Нет;1003,73
5236;кессон;1.57.001;Нет;876,72
5237;кессон;1.57.004;Нет;1301,85
5238;купол;1.58.001;Нет;4803,42
5239;капитель;1.11.001;Нет;4189,55
5240;капитель;1.11.010;Нет;1975,7
5241;капитель;1.11.003;Нет;3254,62
5242;капитель;1.11.002;Нет;2416,71
5243;капитель;1.11.004;Нет;3254,62
5244;капитель;1.11.005;Нет;1457,08
5245;капитель;1.11.006;Нет;3145,8
5246;капитель;1.11.008;Нет;1644,07
5247;капитель;1.11.009;Нет;1635,25
5248;капитель;1.15.002;Нет;1030,19
5249;капитель;1.15.003;Нет;1450,02
5250;капитель;1.15.004;Нет;1450,02
5251;капитель;1.15.005;Нет;751,47
5252;капитель;1.15.006;Нет;1397,1
5253;капитель;1.15.008;Нет;822,03
5254;капитель;1.15.001;Нет;1772,84
5255;капитель;1.15.009;Нет;818,5
5256;капитель;1.15.010;Нет;989,61
5257;капитель;1.21.003;Нет;645,63
5258;капитель;1.21.001;Нет;580,36
5259;капитель;1.21.002;Нет;739,12
5260;капитель;1.21.004;Нет;728,54
5261;капитель;1.21.005;Нет;691,5
5262;капитель;1.21.006;Нет;654,45
5263;капитель;1.21.007;Нет;675,62
5264;ствол;1.12.020;Нет;6122,91
5265;ствол;1.12.010;Нет;6122,91
5266;ствол;1.12.030;Нет;7798,73
5267;ствол;1.12.050;Нет;3630,9
5268;ствол;1.12.060;Нет;2859,48
5269;ствол;1.12.061;Нет;3861,44
5270;ствол;1.12.080;Нет;2859,48
5271;ствол;1.12.081;Нет;3861,44
5272;ствол;1.12.070;Нет;2859,48
5273;ствол;1.12.071;Нет;3861,44
5274;ствол;1.16.080;Нет;1430,62
5275;ствол;1.16.081;Нет;1929,84
5276;ствол;1.16.030;Нет;3577,43
5277;ствол;1.16.070;Нет;1430,62
5278;ствол;1.16.050;Нет;1610,55
5279;ствол;1.16.060;Нет;1430,62
5280;ствол;1.16.071;Нет;1929,84
5281;ствол;1.16.010;Нет;2739,52
5282;ствол;1.16.011;Нет;2836,05
5283;ствол;1.16.020;Нет;2739,52
5284;ствол;1.16.061;Нет;1929,84
5285;ствол;1.22.010;Нет;843,2
5286;ствол;1.22.020;Нет;1331,83
5287;ствол;1.22.030;Нет;1016,08
5288;ствол;1.22.200;Нет;1527,64
5289;ствол;1.22.040;Нет;1079,58
5290;кольцо;1.11.100;Нет;100,55
5291;кольцо;1.11.200;Нет;100,55
5292;кольцо;1.11.300;Нет;146,41
5293;кольцо;1.15.100;Нет;49,39
5294;кольцо;1.15.200;Нет;45,86
5295;кольцо;1.15.300;Нет;75,85
5296;база;1.13.900;Нет;1300,08
5297;база;1.13.300;Нет;5639,57
5298;база;1.13.400;Нет;2497,85
5299;база;1.13.800;Нет;1300,08
5300;база;1.13.500;Нет;1457,08
5301;база;1.13.100;Нет;4350,07
5302;база;1.13.200;Нет;2159,16
5303;база;1.13.700;Нет;1273,62
5304;база;1.17.900;Нет;649,16
5305;база;1.17.300;Нет;2579
5306;база;1.17.400;Нет;1127,21
5307;база;1.17.100;Нет;1933,37
5308;база;1.17.800;Нет;649,16
5309;база;1.17.500;Нет;751,47
5310;база;1.17.600;Нет;1409,45
5311;база;1.17.700;Нет;636,81
5312;база;1.17.200;Нет;837,91
5313;база;1.23.100;Нет;691,5
5314;база;1.23.200;Нет;987,85
5315;база;1.23.300;Нет;777,93
5316;база;1.23.400;Нет;1054,88
5317;база;1.23.500;Нет;756,76
5318;пьедестал;1.14.001;Нет;2531,37
5319;пьедестал;1.14.002;Нет;2672,49
5320;пьедестал;1.14.003;Нет;2672,49
5321;пьедестал;1.18.001;Нет;1337,13
5322;пьедестал;1.18.002;Нет;1266,57
5323;пьедестал;1.18.003;Нет;1337,13
5324;база;1.54.010;Нет;324,58
5325;обрамление арок;1.55.003;Нет;130,54
5326;обрамление арок;1.55.004;Нет;135,83
5327;обрамление арок;1.55.001;Нет;372,21
5328;замковый камень;1.55.005;Нет;135,83
5329;обрамление арок;1.55.002;Нет;372,21
5330;база;1.54.020;Нет;294,59
5331;боковой элемент;1.54.009;Нет;127,01
5332;боковой элемент;1.54.019;Нет;128,77
5333;квадрат;1.54.001;Нет;114,66
5334;квадрат;1.54.002;Нет;112,9
5335;наличник;1.54.003;Нет;467,47
5336;наличник;1.54.004;Нет;784,99
5337;элемент;1.54.008;Нет;130,54
5338;элемент;1.54.006;Нет;160,53
5339;элемент;1.54.005;Нет;153,47
5340;элемент;1.54.007;Нет;125,25
5341;элемент;1.54.012;Нет;321,05
5342;элемент;1.54.011;Нет;317,52
5343;ствол;1.12.011;Нет;6351,45
5344;пилястра;1.20.301;Нет;
5345;пилястра;1.20.302;Нет;
5346;пилястра;1.20.303;Нет;
5347;пилястра;1.20.201;Нет;
5348;пилястра;1.20.202;Нет;
5349;пилястра;1.20.101;Нет;
5350;пилястра;1.20.102;Нет;
5351;пилястра;1.20.001;Нет;
5352;пилястра;1.20.002;Нет;
5353;полуколонна;1.10.301;Нет;
5354;полуколонна;1.10.302;Нет;
5355;полуколонна;1.10.303;Нет;
5356;полуколонна;1.10.304;Нет;
5357;полуколонна;1.10.201;Нет;
5358;полуколонна;1.10.202;Нет;
5359;полуколонна;1.10.203;Нет;
5360;полуколонна;1.10.204;Нет;
5361;полуколонна;1.10.205;Нет;
5362;полуколонна;1.10.206;Нет;
5363;полуколонна;1.10.207;Нет;
5364;полуколонна;1.10.208;Нет;
5365;полуколонна;1.10.209;Нет;
5366;полуколонна;1.10.210;Нет;
5367;полуколонна;1.10.211;Нет;
5368;полуколонна;1.10.212;Нет;
5369;полуколонна;1.10.213;Нет;
5370;полуколонна;1.10.214;Нет;
5371;полуколонна;1.10.101;Нет;
5372;полуколонна;1.10.102;Нет;
5373;полуколонна;1.10.103;Нет;
5374;полуколонна;1.10.104;Нет;
5375;полуколонна;1.10.105;Нет;
5376;полуколонна;1.10.106;Нет;
5377;колонна;1.30.301;Нет;
5378;колонна;1.30.302;Нет;
5379;колонна;1.30.303;Нет;
5380;колонна;1.30.304;Нет;
5381;колонна;1.30.201;Нет;
5382;колонна;1.30.202;Нет;
5383;колонна;1.30.204;Нет;
5384;колонна;1.30.205;Нет;
5385;колонна;1.30.206;Нет;
5386;колонна;1.30.207;Нет;
5387;колонна;1.30.208;Нет;
5388;колонна;1.30.209;Нет;
5389;колонна;1.30.210;Нет;
5390;колонна;1.30.211;Нет;
