IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;CV_PRICE_1;IP_PROP706;IP_PROP707;IC_GROUP0;IC_GROUP1;IC_GROUP2
4900;карниз 1.50.271;1.50.271;N;2000;;;;165;226;;;;;;;;;;4436.00;564;44,8;Интерьерный декор;карнизы;
4901;карниз 1.50.273;1.50.273;N;2000;;;;130;198;;;;;;;;;;3706.00;564;44,1;Интерьерный декор;карнизы;
4902;карниз 1.50.114 гибкий;1.50.114;Y;2000;;;;32;65;;;;;;;1500;1000;;1653.00;457;8,4;Интерьерный декор;гибкие карнизы;
4903;карниз 1.50.115 гибкий;1.50.115;Y;2000;;;;46;49;;;;;;;2500;2000;;2225.00;457;6,4;Интерьерный декор;гибкие карнизы;
4904;карниз 1.50.116 гибкий;1.50.116;Y;2000;;;;99;100;;;;;;;4000;3000;;5617.00;500;18;Интерьерный декор;гибкие карнизы;
4905;карниз 1.50.117 гибкий;1.50.117;Y;2000;;;;104;154;;;;;;;3000;2500;;4924.00;550;26,6;Интерьерный декор;гибкие карнизы;
4906;карниз 1.50.118 гибкий;1.50.118;Y;2000;;;;131;130;;;;;;;3500;2500;;3740.00;550;33,5;Интерьерный декор;гибкие карнизы;
4907;карниз 1.50.119 гибкий;1.50.119;Y;2000;;;;56;113;;;;;;;2500;2000;;3060.00;500;15,9;Интерьерный декор;гибкие карнизы;
4908;карниз 1.50.120 гибкий;1.50.120;Y;2000;;;;112;142;;;;;;;4500;4000;;6224.00;550;33,2;Интерьерный декор;гибкие карнизы;
4909;карниз 1.50.121 гибкий;1.50.121;Y;2000;;;;50;101;;;;;;;1000;1000;;3001.00;500;14,6;Интерьерный декор;гибкие карнизы;
4910;карниз 1.50.122 гибкий;1.50.122;Y;2000;;;;40;50;;;;;;;1500;1000;;1974.00;457;8,8;Интерьерный декор;гибкие карнизы;
4911;карниз 1.50.100 гибкий;1.50.100;Y;2000;;;;55;64;;;;;;;3000;2500;;2401.00;500;9,3;Интерьерный декор;гибкие карнизы;
4912;карниз 1.50.102 гибкий;1.50.102;Y;2000;;;;76;69;;;;;;;3500;3500;;2195.00;500;8,6;Интерьерный декор;гибкие карнизы;
4913;карниз 1.50.103 гибкий;1.50.103;Y;2000;;;;50;50;;;;;;;1500;1000;;2214.00;500;7,7;Интерьерный декор;гибкие карнизы;
4914;карниз 1.50.104 гибкий;1.50.104;Y;2000;;;;73;116;;;;;;;2500;1500;;5462.00;564;23,5;Интерьерный декор;гибкие карнизы;
4915;карниз 1.50.105 гибкий;1.50.105;Y;2000;;;;63;60;;;;;;;2000;1500;;2693.00;457;10,8;Интерьерный декор;гибкие карнизы;
4916;карниз 1.50.106 гибкий;1.50.106;Y;2000;;;;90;71;;;;;;;3000;2500;;2907.00;457;13,2;Интерьерный декор;гибкие карнизы;
4917;карниз 1.50.107 гибкий;1.50.107;Y;2000;;;;107;148;;;;;;;4500;4000;;3444.00;564;28,4;Интерьерный декор;гибкие карнизы;
4918;карниз 1.50.109 гибкий;1.50.109;Y;2000;;;;190;78;;;;;;;5000;4500;;3740.00;500;42;Интерьерный декор;гибкие карнизы;
4919;карниз 1.50.110 гибкий;1.50.110;Y;2000;;;;189;169;;;;;;;4500;4000;;7054.00;564;47;Интерьерный декор;гибкие карнизы;
4920;карниз 1.50.111 гибкий;1.50.111;Y;2000;;;;118;112;;;;;;;3500;2500;;5773.00;564;30,1;Интерьерный декор;гибкие карнизы;
4921;карниз 1.50.112 гибкий;1.50.112;Y;2000;;;;39;74;;;;;;;1500;1000;;2865.00;457;15,4;Интерьерный декор;гибкие карнизы;
4922;карниз 1.50.113 гибкий;1.50.113;Y;2000;;;;80;83;;;;;;;4000;3000;;2733.00;500;13,6;Интерьерный декор;гибкие карнизы;
