IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149
4989;карниз FLEX;1.50.194;2000;;;;51;52;1500;1000;;;;;;;
4990;карниз FLEX;1.50.195;2000;;;;51;55;1500;1000;;;;;;;
4991;карниз FLEX;1.50.197;2000;;;;73;76;2000;1000;;;;;;;
4992;карниз FLEX;1.50.200;2000;;;;55;55;1500;1000;;;;;;;
4993;карниз FLEX;1.50.202;2000;;;;97;103;2500;1500;;;;;;;
4994;карниз FLEX;1.50.203;2000;;;;115;129;2500;1500;;;;;;;
4995;карниз FLEX;1.50.209;2000;;;;118;150;4000;3500;;;;;;;
4996;карниз FLEX;1.50.210;2000;;;;121;155;4000;3500;;;;;;;
4997;карниз FLEX;1.50.220;2000;;;;122;126;4000;3500;;;;;;;
4998;карниз FLEX;1.50.221;2000;;;;140;150;4000;3500;;;;;;;
4999;карниз FLEX;1.50.222;2000;;;;162;170;4500;4000;;;;;;;
5000;карниз FLEX;1.50.250;2000;;;;73;164;1500;2000;;;;;;;
5001;карниз FLEX;1.50.251;2000;;;;55;70;1500;1500;;;;;;;
5002;карниз FLEX;1.50.252;2000;;;;120;119;3000;2500;;;;;;;
5003;карниз FLEX;1.50.253;2000;;;;66;108;2500;2000;;;;;;;
5004;карниз FLEX;1.50.254;2000;;;;93;130;2500;2000;;;;;;;
5005;карниз FLEX;1.50.255;2000;;;;82;127;3500;3000;;;;;;;
5006;карниз FLEX;1.50.256;2000;;;;132;175;4000;3500;;;;;;;
5007;карниз FLEX;1.50.257;2000;;;;38;38;1000;1000;1000;;;;;;
5008;карниз FLEX;1.50.258;2000;;;;25;27;550;550;;;;;;;
5009;карниз FLEX;1.50.259;2000;;;;36;81;1500;1500;;;;;;;
5010;карниз FLEX;1.50.260;2000;;;;133;166;3500;2500;;;;;;;
5011;карниз FLEX;1.50.261;1980;;;;102;101;3500;3000;;;;;;;
5012;карниз FLEX;1.50.262;2000;;;;50;120;1000;1000;;;;;;;
5013;карниз FLEX;1.50.264;2000;;;;170;170;5000;4500;;;;;;;
5014;карниз FLEX;1.50.265;2000;;;;115;21;550;550;2500;;;;;;
5015;карниз FLEX;1.50.266;2000;;;;76;21;550;550;1500;;;;;;
5016;карниз FLEX;1.50.267;2000;;;;171;33;550;550;4500;;;;;;
5017;карниз FLEX;1.50.268;2000;;;;170;33;550;550;4500;;;;;;
5018;карниз FLEX;1.50.269;2000;;;;220;47;550;550;4500;;;;;;
5019;карниз FLEX;1.50.270;2000;;;;220;47;550;550;4500;;;;;;
5020;молдинг;1.51.311;2000;;;;;86;;;;;;;;;20
5021;молдинг;1.51.314;2000;;;;;66;;;;;;;;;18
5022;молдинг;1.51.327;2000;;;;;80;;;;;;;;;21
5023;молдинг;1.51.301;2000;;;;;42;;;;;;;;;16
5024;молдинг;1.51.305;2000;;;;;28;;;;;;;;;15
5025;молдинг;1.51.321;2000;;;;;19;;;;;;;;;8
5026;молдинг;1.51.400;2000;;;;;44;;;;;;;;;16
5027;молдинг;1.51.302;2000;;;;;60;;;;;;;;;25
5028;молдинг;1.51.303;2000;;;;;82;;;;;;;;;19
5029;молдинг;1.51.304;2000;;;;;51;;;;;;;;;25
5030;молдинг;1.51.306;2000;;;;;31;;;;;;;;;10
5031;молдинг;1.51.307;2000;;;;;96;;;;;;;;;25
5032;молдинг;1.51.324;2000;;;;;54;;;;;;;;;12
5033;молдинг;1.51.352;2000;;;;;36;;;;;;;;;21
5034;молдинг;1.51.325;2000;;;;;125;;;;;;;;;15
5035;молдинг;1.51.312;2000;;;;;40;;;;;;;;;19
5036;молдинг;1.51.332;2000;;;;;50;;;;;;;;;16
5037;молдинг;1.51.350;2000;;;;;139;;;;;;;;;36
5038;молдинг;1.51.326;2000;;;;;50;;;;;;;;;28
5039;молдинг;1.51.308;2000;;;;;41;;;;;;;;;20
5040;молдинг;1.51.309;2000;;;;;74;;;;;;;;;21
5041;молдинг;1.51.310;2000;;;;;96;;;;;;;;;19
5042;молдинг;1.51.313;2000;;;;;53;;;;;;;;;20
5043;молдинг;1.51.315;2000;;;;;75;;;;;;;;;22
5044;молдинг;1.51.316;2000;;;;;90;;;;;;;;;18
5045;молдинг;1.51.317;2000;;;;;101;;;;;;;;;20
5046;молдинг;1.51.318;2000;;;;;65;;;;;;;;;32
5047;молдинг;1.51.319;2000;;;;;124;;;;;;;;;30
5048;молдинг;1.51.320;2000;;;;;113;;;;;;;;;20
5049;молдинг;1.51.322;2000;;;;;25;;;;;;;;;12
5050;молдинг;1.51.328;2000;;;;;46;;;;;;;;;30
5051;молдинг;1.51.330;2000;;;;;60;;;;;;;;;28
5052;молдинг;1.51.333;2000;;;;;57;;;;;;;;;27
5053;молдинг;1.51.340;2000;;;;;78;;;;;;;;;25
5054;молдинг;1.51.341;2000;;;;;75;;;;;;;;;21
5055;молдинг;1.51.342;2000;;;;;75;;;;;;;;;15
5056;молдинг;1.51.343;2000;;;;;75;;;;;;;;;12
5057;молдинг;1.51.344;2000;;;;;90;;;;;;;;;18
5058;молдинг;1.51.351;2000;;;;;58;;;;;;;;;28
5059;молдинг;1.51.380;2000;;;;;220;;;;;;;;;25
5060;молдинг;1.51.401;2000;;;;;22;;;;;;;;;12
5061;молдинг;1.51.323;2000;;;;;32;;;;;;;;;10
5062;молдинг;1.51.339;2000;;;;;56;;;;;;;;;13
5063;молдинг;1.51.331;2000;;;;;67;;;;;;;;;20
5064;молдинг;1.51.336;2000;;;;;66;;;;;;;;;12
5065;молдинг;1.51.334;2000;;;;;33;;;;;;;;;14
5066;молдинг;1.51.335;2000;;;;;75;;;;;;;;;16
5067;молдинг;1.51.337;2000;;;;;78;;;;;;;;;14
5068;молдинг;1.51.348;2000;;;;;49;;;;;;;;;25
5069;молдинг;1.51.349;2000;;;;;105;;;;;;;;;20
5070;молдинг;1.51.329;2000;;;;;23;;;;;;;;;12
5071;молдинг;1.51.347;2000;;;;;91;;;;;;;;;27
5072;молдинг;1.51.355;2000;;;;;102;;;;;;;;;33
5073;молдинг;1.51.354;2000;;;;;68;;;;;;;;;26
5074;молдинг FLEX;1.51.311;2000;;;;;86;550;550;1500;;;;;;20
5075;молдинг FLEX;1.51.314;2000;;;;;66;550;550;1500;;;;;;18
5076;молдинг FLEX;1.51.327;2000;;;;;80;550;550;1000;;;;;;21
5077;молдинг FLEX;1.51.301;2000;;;;;42;550;550;550;;;;;;16
5078;молдинг FLEX;1.51.305;2000;;;;;28;550;550;550;;;;;;15
5079;молдинг FLEX;1.51.321;2000;;;;;19;550;550;550;;;;;;8
5080;молдинг FLEX;1.51.400;2000;;;;;44;550;550;550;;;;;;16
5081;молдинг FLEX;1.51.302;2000;;;;;60;550;550;1000;;;;;;25
5082;молдинг FLEX;1.51.303;2000;;;;;82;550;550;1500;;;;;;19
5083;молдинг FLEX;1.51.304;2000;;;;;51;550;550;550;;;;;;25
5084;молдинг FLEX;1.51.306;2000;;;;;31;550;550;550;;;;;;10
5085;молдинг FLEX;1.51.307;2000;;;;;96;550;550;1500;;;;;;25
5086;молдинг FLEX;1.51.324;2000;;;;;54;550;550;1500;;;;;;12
5087;молдинг FLEX;1.51.352;2000;;;;;36;550;550;550;;;;;;21
5088;молдинг FLEX;1.51.325;2000;;;;;125;550;550;2500;;;;;;15
5089;молдинг FLEX;1.51.312;2000;;;;;40;550;550;1500;;;;;;19
5090;молдинг FLEX;1.51.332;2000;;;;;50;550;550;1000;;;;;;16
5091;молдинг FLEX;1.51.350;2000;;;;;139;550;550;2500;;;;;;36
5092;молдинг FLEX;1.51.326;2000;;;;;50;550;550;550;;;;;;28
5093;молдинг FLEX;1.51.308;2000;;;;;41;550;550;550;;;;;;20
5094;молдинг FLEX;1.51.309;2000;;;;;74;550;550;550;;;;;;21
5095;молдинг FLEX;1.51.310;2000;;;;;96;550;550;1500;;;;;;19
5096;молдинг FLEX;1.51.313;2000;;;;;53;550;550;550;;;;;;20
5097;молдинг FLEX;1.51.315;2000;;;;;75;550;550;1000;;;;;;22
5098;молдинг FLEX;1.51.316;2000;;;;;90;550;550;1500;;;;;;18
5099;молдинг FLEX;1.51.317;2000;;;;;101;550;550;1500;;;;;;20
5100;молдинг FLEX;1.51.318;2000;;;;;65;550;550;550;;;;;;32
5101;молдинг FLEX;1.51.319;2000;;;;;124;550;550;1500;;;;;;30
5102;молдинг FLEX;1.51.320;2000;;;;;113;550;550;1500;;;;;;20
5103;молдинг FLEX;1.51.322;2000;;;;;25;550;550;550;;;;;;12
5104;молдинг FLEX;1.51.328;2000;;;;;46;550;550;550;;;;;;30
5105;молдинг FLEX;1.51.330;2000;;;;;60;550;550;550;;;;;;28
5106;молдинг FLEX;1.51.333;2000;;;;;57;550;550;550;;;;;;27
5107;молдинг FLEX;1.51.340;2000;;;;;78;550;550;1000;;;;;;25
5108;молдинг FLEX;1.51.341;2000;;;;;75;550;550;1000;;;;;;21
5109;молдинг FLEX;1.51.342;2000;;;;;75;550;550;1500;;;;;;15
5110;молдинг FLEX;1.51.343;2000;;;;;75;550;550;1500;;;;;;12
5111;молдинг FLEX;1.51.344;2000;;;;;90;550;550;1500;;;;;;18
5112;молдинг FLEX;1.51.351;2000;;;;;58;550;550;550;;;;;;28
5113;молдинг FLEX;1.51.380;2000;;;;;220;550;550;3500;;;;;;25
5114;молдинг FLEX;1.51.401;2000;;;;;22;550;550;550;;;;;;12
5115;молдинг FLEX;1.51.323;2000;;;;;32;550;550;550;;;;;;10
5116;молдинг FLEX;1.51.339;2000;;;;;56;550;550;1000;;;;;;13
5117;молдинг FLEX;1.51.331;2000;;;;;67;550;550;1000;;;;;;20
5118;молдинг FLEX;1.51.336;2000;;;;;66;550;550;1500;;;;;;12
5119;молдинг FLEX;1.51.334;2000;;;;;33;550;550;1000;;;;;;14
5120;молдинг FLEX;1.51.335;2000;;;;;75;550;550;1000;;;;;;16
5121;молдинг FLEX;1.51.337;2000;;;;;78;550;550;1500;;;;;;14
5122;молдинг FLEX;1.51.348;2000;;;;;49;550;550;;;;;;;25
5123;молдинг FLEX;1.51.349;2000;;;;;105;550;550;;;;;;;20
5124;молдинг FLEX;1.51.329;2000;;;;;23;550;550;550;;;;;;12
5125;молдинг FLEX;1.51.347;2000;;;;;91;550;550;;;;;;;27
5126;молдинг FLEX;1.51.355;2000;;;;;102;550;550;2000;;;;;;33
5127;молдинг FLEX;1.51.354;2000;;;;;68;550;550;1000;;;;;;26
5128;плинтус;1.53.102;2000;;;;;150;;;;22;;;;;
5129;плинтус;1.53.103;2000;;;;;110;;;;15;;;;;
5130;плинтус;1.53.104;2000;;;;;120;;;;25;;;;;
5131;плинтус;1.53.105;2000;;;;;160;;;;24;;;;;
5132;плинтус;1.53.106;2000;;;;;70;;;;17;;;;;
5133;плинтус;1.53.107;2000;;;;;80;;;;22;;;;;
5134;плинтус;1.53.109;2000;;;;;98;;;;16;;;;;
5135;плинтус;1.53.101;2000;;;;;110;;;;26;;;;;
5136;плинтус FLEX;1.53.102;2000;;;;;150;550;550;;22;;;;;
5137;плинтус FLEX;1.53.103;2000;;;;;110;550;550;;15;;;;;
5138;плинтус FLEX;1.53.104;2000;;;;;120;550;550;;25;;;;;
5139;плинтус FLEX;1.53.105;2000;;;;;160;550;550;;24;;;;;
5140;плинтус FLEX;1.53.106;2000;;;;;70;550;550;;17;;;;;
5141;плинтус FLEX;1.53.107;2000;;;;;80;550;550;;22;;;;;
