IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;CV_PRICE_1
5024;молдинг;1.51.305;Нет;2000;;;;;28;;;;;;;;;15;487.00
5025;молдинг;1.51.321;Нет;2000;;;;;19;;;;;;;;;8;458.00
5026;молдинг;1.51.400;Нет;2000;;;;;44;;;;;;;;;16;489.00
5027;молдинг;1.51.302;Нет;2000;;;;;60;;;;;;;;;25;625.00
5028;молдинг;1.51.303;Нет;2000;;;;;82;;;;;;;;;19;634.00
5029;молдинг;1.51.304;Нет;2000;;;;;51;;;;;;;;;25;603.00
5030;молдинг;1.51.306;Нет;2000;;;;;31;;;;;;;;;10;500.00
5031;молдинг;1.51.307;Нет;2000;;;;;96;;;;;;;;;25;946.00
5032;молдинг;1.51.324;Нет;2000;;;;;54;;;;;;;;;12;458.00
5033;молдинг;1.51.352;Нет;2000;;;;;36;;;;;;;;;21;566.00
5034;молдинг;1.51.325;Нет;2000;;;;;125;;;;;;;;;15;1009.00
5035;молдинг;1.51.312;Нет;2000;;;;;40;;;;;;;;;19;557.00
5036;молдинг;1.51.332;Нет;2000;;;;;50;;;;;;;;;16;748.00
5037;молдинг;1.51.350;Нет;2000;;;;;139;;;;;;;;;36;1016.00
5038;молдинг;1.51.326;Нет;2000;;;;;50;;;;;;;;;28;583.00
5039;молдинг;1.51.308;Нет;2000;;;;;41;;;;;;;;;20;557.00
5040;молдинг;1.51.309;Нет;2000;;;;;74;;;;;;;;;21;796.00
5041;молдинг;1.51.310;Нет;2000;;;;;96;;;;;;;;;19;946.00
5042;молдинг;1.51.313;Нет;2000;;;;;53;;;;;;;;;20;591.00
5043;молдинг;1.51.315;Нет;2000;;;;;75;;;;;;;;;22;612.00
5044;молдинг;1.51.316;Нет;2000;;;;;90;;;;;;;;;18;566.00
5045;молдинг;1.51.317;Нет;2000;;;;;101;;;;;;;;;20;896.00
5046;молдинг;1.51.318;Нет;2000;;;;;65;;;;;;;;;32;634.00
5047;молдинг;1.51.319;Нет;2000;;;;;124;;;;;;;;;30;1025.00
5048;молдинг;1.51.320;Нет;2000;;;;;113;;;;;;;;;20;977.00
5049;молдинг;1.51.322;Нет;2000;;;;;25;;;;;;;;;12;467.00
5050;молдинг;1.51.328;Нет;2000;;;;;46;;;;;;;;;30;583.00
5051;молдинг;1.51.330;Нет;2000;;;;;60;;;;;;;;;28;615.00
5052;молдинг;1.51.333;Нет;2000;;;;;57;;;;;;;;;27;603.00
5053;молдинг;1.51.340;Нет;2000;;;;;78;;;;;;;;;25;577.00
5054;молдинг;1.51.341;Нет;2000;;;;;75;;;;;;;;;21;808.00
5055;молдинг;1.51.342;Нет;2000;;;;;75;;;;;;;;;15;808.00
5056;молдинг;1.51.343;Нет;2000;;;;;75;;;;;;;;;12;748.00
5057;молдинг;1.51.344;Нет;2000;;;;;90;;;;;;;;;18;808.00
5058;молдинг;1.51.351;Нет;2000;;;;;58;;;;;;;;;28;600.00
5059;молдинг;1.51.380;Нет;2000;;;;;220;;;;;;;;;25;1346.00
5060;молдинг;1.51.401;Нет;2000;;;;;22;;;;;;;;;12;460.00
5061;молдинг;1.51.323;Нет;2000;;;;;32;;;;;;;;;10;475.00
5062;молдинг;1.51.339;Нет;2000;;;;;56;;;;;;;;;13;765.00
5063;молдинг;1.51.331;Нет;2000;;;;;67;;;;;;;;;20;722.00
5064;молдинг;1.51.336;Нет;2000;;;;;66;;;;;;;;;12;748.00
5065;молдинг;1.51.334;Нет;2000;;;;;33;;;;;;;;;14;567.00
5066;молдинг;1.51.335;Нет;2000;;;;;75;;;;;;;;;16;625.00
5067;молдинг;1.51.337;Нет;2000;;;;;78;;;;;;;;;14;882.00
5068;молдинг;1.51.348;Нет;2000;;;;;49;;;;;;;;;25;591.00
5069;молдинг;1.51.349;Нет;2000;;;;;105;;;;;;;;;20;993.00
5070;молдинг;1.51.329;Нет;2000;;;;;23;;;;;;;;;12;484.00
5071;молдинг;1.51.347;Нет;2000;;;;;91;;;;;;;;;27;930.00
5072;молдинг;1.51.355;Нет;2000;;;;;102;;;;;;;;;33;962.00
5073;молдинг;1.51.354;Нет;2000;;;;;68;;;;;;;;;26;613.00
5074;молдинг FLEX;1.51.311;Да;2000;;;;;86;550;550;1500;;;;;;20;1952.00
5075;молдинг FLEX;1.51.314;Да;2000;;;;;66;550;550;1500;;;;;;18;1182.00
