IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4899;карниз;1.50.270;Нет;Интерьерный декор;карнизы;;1699.00
4900;карниз;1.50.271;Нет;Интерьерный декор;карнизы;;2176.00
4901;карниз;1.50.273;Нет;Интерьерный декор;карнизы;;2507.00
4902;карниз FLEX;1.50.114;Да;Интерьерный декор;гибкие карнизы;;1351.00
4903;карниз FLEX;1.50.115;Да;Интерьерный декор;гибкие карнизы;;1089.00
4904;карниз FLEX;1.50.116;Да;Интерьерный декор;гибкие карнизы;;2752.00
4905;карниз FLEX;1.50.117;Да;Интерьерный декор;гибкие карнизы;;2896.00
4906;карниз FLEX;1.50.118;Да;Интерьерный декор;гибкие карнизы;;3056.00
4907;карниз FLEX;1.50.119;Да;Интерьерный декор;гибкие карнизы;;1500.00
4908;карниз FLEX;1.50.120;Да;Интерьерный декор;гибкие карнизы;;3138.00
4909;карниз FLEX;1.50.121;Да;Интерьерный декор;гибкие карнизы;;1471.00
4910;карниз FLEX;1.50.122;Да;Интерьерный декор;гибкие карнизы;;963.00
4911;карниз FLEX;1.50.100;Да;Интерьерный декор;гибкие карнизы;;1353.00
4912;карниз FLEX;1.50.102;Да;Интерьерный декор;гибкие карнизы;;1071.00
4913;карниз FLEX;1.50.103;Да;Интерьерный декор;гибкие карнизы;;1080.00
4914;карниз FLEX;1.50.104;Да;Интерьерный декор;гибкие карнизы;;2679.00
4915;карниз FLEX;1.50.105;Да;Интерьерный декор;гибкие карнизы;;1318.00
4916;карниз FLEX;1.50.106;Да;Интерьерный декор;гибкие карнизы;;1422.00
4917;карниз FLEX;1.50.107;Да;Интерьерный декор;гибкие карнизы;;2815.00
4918;карниз FLEX;1.50.109;Да;Интерьерный декор;гибкие карнизы;;3056.00
4919;карниз FLEX;1.50.110;Да;Интерьерный декор;гибкие карнизы;;3459.00
4920;карниз FLEX;1.50.111;Да;Интерьерный декор;гибкие карнизы;;2830.00
4921;карниз FLEX;1.50.112;Да;Интерьерный декор;гибкие карнизы;;1402.00
4922;карниз FLEX;1.50.113;Да;Интерьерный декор;гибкие карнизы;;1485.00
4923;карниз FLEX;1.50.123;Да;Интерьерный декор;гибкие карнизы;;997.00
4924;карниз FLEX;1.50.124;Да;Интерьерный декор;гибкие карнизы;;2554.00
4925;карниз FLEX;1.50.125;Да;Интерьерный декор;гибкие карнизы;;2096.00
4926;карниз FLEX;1.50.126;Да;Интерьерный декор;гибкие карнизы;;1469.00
4927;карниз FLEX;1.50.127;Да;Интерьерный декор;гибкие карнизы;;1422.00
4928;карниз FLEX;1.50.128;Да;Интерьерный декор;гибкие карнизы;;2493.00
4929;карниз FLEX;1.50.129;Да;Интерьерный декор;гибкие карнизы;;1436.00
4930;карниз FLEX;1.50.130;Да;Интерьерный декор;гибкие карнизы;;1007.00
4931;карниз FLEX;1.50.131;Да;Интерьерный декор;гибкие карнизы;;2452.00
4932;карниз FLEX;1.50.132;Да;Интерьерный декор;гибкие карнизы;;3659.00
4933;карниз FLEX;1.50.133;Да;Интерьерный декор;гибкие карнизы;;2493.00
4934;карниз FLEX;1.50.134;Да;Интерьерный декор;гибкие карнизы;;3539.00
4935;карниз FLEX;1.50.135;Да;Интерьерный декор;гибкие карнизы;;2576.00
4936;карниз FLEX;1.50.136;Да;Интерьерный декор;гибкие карнизы;;2856.00
4937;карниз FLEX;1.50.137;Да;Интерьерный декор;гибкие карнизы;;3739.00
4938;карниз FLEX;1.50.138;Да;Интерьерный декор;гибкие карнизы;;3138.00
4939;карниз FLEX;1.50.139;Да;Интерьерный декор;гибкие карнизы;;2427.00
4940;карниз FLEX;1.50.140;Да;Интерьерный декор;гибкие карнизы;;1397.00
4941;карниз FLEX;1.50.141;Да;Интерьерный декор;гибкие карнизы;;1397.00
4942;карниз FLEX;1.50.142;Да;Интерьерный декор;гибкие карнизы;;3138.00
4943;карниз FLEX;1.50.143;Да;Интерьерный декор;гибкие карнизы;;1372.00
4944;карниз FLEX;1.50.144;Да;Интерьерный декор;гибкие карнизы;;1500.00
4945;карниз FLEX;1.50.145;Да;Интерьерный декор;гибкие карнизы;;3980.00
4946;карниз FLEX;1.50.146;Да;Интерьерный декор;гибкие карнизы;;2535.00
4947;карниз FLEX;1.50.147;Да;Интерьерный декор;гибкие карнизы;;3138.00
4948;карниз FLEX;1.50.148;Да;Интерьерный декор;гибкие карнизы;;2667.00
4949;карниз FLEX;1.50.149;Да;Интерьерный декор;гибкие карнизы;;4042.00
4950;карниз FLEX;1.50.150;Да;Интерьерный декор;гибкие карнизы;;1026.00
4951;карниз FLEX;1.50.151;Да;Интерьерный декор;гибкие карнизы;;4042.00
4952;карниз FLEX;1.50.152;Да;Интерьерный декор;гибкие карнизы;;4042.00
4953;карниз FLEX;1.50.153;Да;Интерьерный декор;гибкие карнизы;;4042.00
4954;карниз FLEX;1.50.154;Да;Интерьерный декор;гибкие карнизы;;937.00
4955;карниз FLEX;1.50.155;Да;Интерьерный декор;гибкие карнизы;;928.00
4956;карниз FLEX;1.50.156;Да;Интерьерный декор;гибкие карнизы;;1032.00
4957;карниз FLEX;1.50.157;Да;Интерьерный декор;гибкие карнизы;;960.00
4958;карниз FLEX;1.50.158;Да;Интерьерный декор;гибкие карнизы;;967.00
4959;карниз FLEX;1.50.159;Да;Интерьерный декор;гибкие карнизы;;995.00
4960;карниз FLEX;1.50.160;Да;Интерьерный декор;гибкие карнизы;;1318.00
4961;карниз FLEX;1.50.162;Да;Интерьерный декор;гибкие карнизы;;1372.00
4962;карниз FLEX;1.50.163;Да;Интерьерный декор;гибкие карнизы;;2634.00
4963;карниз FLEX;1.50.164;Да;Интерьерный декор;гибкие карнизы;;2896.00
4964;карниз FLEX;1.50.165;Да;Интерьерный декор;гибкие карнизы;;1378.00
4965;карниз FLEX;1.50.166;Да;Интерьерный декор;гибкие карнизы;;2792.00
4966;карниз FLEX;1.50.168;Да;Интерьерный декор;гибкие карнизы;;2830.00
4967;карниз FLEX;1.50.169;Да;Интерьерный декор;гибкие карнизы;;2667.00
4968;карниз FLEX;1.50.170;Да;Интерьерный декор;гибкие карнизы;;1515.00
4969;карниз FLEX;1.50.171;Да;Интерьерный декор;гибкие карнизы;;989.00
4970;карниз FLEX;1.50.172;Да;Интерьерный декор;гибкие карнизы;;1023.00
4971;карниз FLEX;1.50.173;Да;Интерьерный декор;гибкие карнизы;;1032.00
4972;карниз FLEX;1.50.174;Да;Интерьерный декор;гибкие карнизы;;1052.00
4973;карниз FLEX;1.50.175;Да;Интерьерный декор;гибкие карнизы;;2815.00
4974;карниз FLEX;1.50.176;Да;Интерьерный декор;гибкие карнизы;;2576.00
4975;карниз FLEX;1.50.177;Да;Интерьерный декор;гибкие карнизы;;1534.00
4976;карниз FLEX;1.50.180;Да;Интерьерный декор;гибкие карнизы;;2613.00
4977;карниз FLEX;1.50.181;Да;Интерьерный декор;гибкие карнизы;;1471.00
4978;карниз FLEX;1.50.182;Да;Интерьерный декор;гибкие карнизы;;1445.00
4979;карниз FLEX;1.50.183;Да;Интерьерный декор;гибкие карнизы;;1571.00
4980;карниз FLEX;1.50.184;Да;Интерьерный декор;гибкие карнизы;;1571.00
4981;карниз FLEX;1.50.185;Да;Интерьерный декор;гибкие карнизы;;2752.00
4982;карниз FLEX;1.50.186;Да;Интерьерный декор;гибкие карнизы;;1571.00
4983;карниз FLEX;1.50.187;Да;Интерьерный декор;гибкие карнизы;;1394.00
4984;карниз FLEX;1.50.188;Да;Интерьерный декор;гибкие карнизы;;1394.00
4985;карниз FLEX;1.50.190;Да;Интерьерный декор;гибкие карнизы;;1043.00
4986;карниз FLEX;1.50.191;Да;Интерьерный декор;гибкие карнизы;;1021.00
4987;карниз FLEX;1.50.192;Да;Интерьерный декор;гибкие карнизы;;1421.00
4988;карниз FLEX;1.50.193;Да;Интерьерный декор;гибкие карнизы;;2510.00
4989;карниз FLEX;1.50.194;Да;Интерьерный декор;гибкие карнизы;;1353.00
4990;карниз FLEX;1.50.195;Да;Интерьерный декор;гибкие карнизы;;1471.00
4991;карниз FLEX;1.50.197;Да;Интерьерный декор;гибкие карнизы;;1571.00
4992;карниз FLEX;1.50.200;Да;Интерьерный декор;гибкие карнизы;;1394.00
4993;карниз FLEX;1.50.202;Да;Интерьерный декор;гибкие карнизы;;2510.00
4994;карниз FLEX;1.50.203;Да;Интерьерный декор;гибкие карнизы;;2831.00
4995;карниз FLEX;1.50.209;Да;Интерьерный декор;гибкие карнизы;;3258.00
4996;карниз FLEX;1.50.210;Да;Интерьерный декор;гибкие карнизы;;3404.00
4997;карниз FLEX;1.50.220;Да;Интерьерный декор;гибкие карнизы;;3018.00
4998;карниз FLEX;1.50.221;Да;Интерьерный декор;гибкие карнизы;;3536.00
4999;карниз FLEX;1.50.222;Да;Интерьерный декор;гибкие карнизы;;3899.00
5000;карниз FLEX;1.50.250;Да;Интерьерный декор;гибкие карнизы;;2588.00
