IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP257;IP_PROP258;CV_PRICE_1;IP_PROP565;IP_PROP600;IP_PROP670
4958;карниз 1.50.158 гибкий;1.50.158;Да;84,67;11938;744;540;28,56;28,56;1800.00;91,4;338402;1616
4959;карниз 1.50.159 гибкий;1.50.159;Да;87,07;12238;766;556;29,43;29,43;1851.00;94;347228;1663
4960;карниз 1.50.160 гибкий;1.50.160;Да;115,15;16202;1013;732;38,96;38,96;2448.00;124,4;459048;2197
4961;карниз 1.50.162 гибкий;1.50.162;Да;117,74;16586;1055;750;40,69;40,69;2503.00;127,3;469838;2246
4962;карниз 1.50.163 гибкий;1.50.163;Да;229,6;32318;2022;1458;77,05;77,05;4881.00;248,2;915154;4378
4963;карниз 1.50.164 гибкий;1.50.164;Да;252,51;35516;2222;1604;84,86;84,86;5368.00;273;1006374;4816
4964;карниз 1.50.165 гибкий;1.50.165;Да;120,09;16928;1058;764;40,34;40,34;2553.00;129,9;478666;2293
4965;карниз 1.50.166 гибкий;1.50.166;Да;243,38;34238;2143;1546;81,38;81,38;5174.00;263,1;970084;4642
4966;карниз 1.50.168 гибкий;1.50.168;Да;246,87;34750;2174;1570;80,65;80,65;5248.00;266,9;983816;4707
4967;карниз 1.50.169 гибкий;1.50.169;Да;232,85;32746;2050;1480;77,92;77,92;4950.00;251,7;927906;4441
4968;карниз 1.50.170 гибкий;1.50.170;Да;130,82;18420;1164;832;44,16;44,16;2781.00;141,4;521824;2496
4969;карниз 1.50.171 гибкий;1.50.171;Да;86,46;12194;761;550;29,43;29,43;1838.00;93,5;345268;1649
4970;карниз 1.50.172 гибкий;1.50.172;Да;89,66;12622;789;572;30,29;30,29;1906.00;96,9;358018;1712
4971;карниз 1.50.173 гибкий;1.50.173;Да;90,13;12706;793;574;30,29;30,29;1916.00;97,4;359000;1721
4972;карниз 1.50.174 гибкий;1.50.174;Да;91,54;12920;809;584;30,76;30,76;1946.00;98,9;364884;1748
4973;карниз 1.50.175 гибкий;1.50.175;Да;245,45;34536;2161;1562;82,26;82,26;5218.00;265,3;978910;4680
4974;карниз 1.50.176 гибкий;1.50.176;Да;222,45;31296;1978;1414;75,32;75,32;4729.00;240,5;886710;4244
4975;карниз 1.50.177 гибкий;1.50.177;Да;133,92;18846;1177;852;45,02;45,02;2847.00;144,7;533596;2555
4976;карниз 1.50.180 гибкий;1.50.180;Да;227,81;32064;2006;1448;73,25;73,25;4843.00;246,4;908288;4346
4977;карниз 1.50.181 гибкий;1.50.181;Да;128,33;18078;1129;816;43,29;43,29;2728.00;138,7;512014;2447
4978;карниз 1.50.182 гибкий;1.50.182;Да;126,35;17780;1111;804;42,42;42,42;2686.00;136,5;504168;2411
4979;карниз 1.50.183 гибкий;1.50.183;Да;137,17;19314;1208;872;45,87;45,87;2916.00;148,2;547328;2615
4980;карниз 1.50.184 гибкий;1.50.184;Да;137,17;19314;1208;872;45,87;45,87;2916.00;148,2;547328;2615
4981;карниз 1.50.185 гибкий;1.50.185;Да;240,19;33812;2114;1526;80,53;80,53;5106.00;259,6;957330;4582
4982;карниз 1.50.186 гибкий;1.50.186;Да;137,17;19314;1208;872;45,87;45,87;2916.00;148,2;547328;2615
4983;карниз 1.50.187 гибкий;1.50.187;Да;121,79;17140;1071;776;40,69;40,69;2589.00;131,7;485532;2322
4984;карниз 1.50.188 гибкий;1.50.188;Да;121,79;17140;1071;776;40,69;40,69;2589.00;131,7;485532;2322
4985;карниз 1.50.190 гибкий;1.50.190;Да;91,35;12876;805;580;31,16;31,16;1942.00;98,7;363904;1744
4986;карниз 1.50.191 гибкий;1.50.191;Да;89,56;12622;788;570;30,29;30,29;1904.00;96,7;358018;1708
4987;карниз 1.50.192 гибкий;1.50.192;Да;124,19;17482;1093;790;41,56;41,56;2640.00;134,2;495340;2369
4988;карниз 1.50.193 гибкий;1.50.193;Да;127,95;18036;1125;814;73,58;73,58;2720.00;138,3;510054;2441
4989;карниз 1.50.194 гибкий;1.50.194;Да;117,74;16586;1039;750;39,82;39,82;2503.00;127,3;469838;2246
4990;карниз 1.50.195 гибкий;1.50.195;Да;128,33;18078;1129;816;43,29;43,29;2728.00;138,7;512014;2447
4991;карниз 1.50.197 гибкий;1.50.197;Да;137,17;19314;1208;872;45,87;45,87;2916.00;148,2;547328;2615
4992;карниз 1.50.200 гибкий;1.50.200;Да;121,79;17140;1071;776;40,69;40,69;2589.00;131,7;485532;2322
4994;карниз 1.50.203 гибкий;1.50.203;Да;246,87;33982;2174;1570;82,26;82,26;5132.00;266,9;962236;4707
4995;карниз 1.50.209 гибкий;1.50.209;Да;284,12;39950;2501;1806;91,57;91,57;6040.00;307,2;1131926;5420
4997;карниз 1.50.220 гибкий;1.50.220;Да;263,42;37052;2317;1674;88,32;88,32;5600.00;284,7;1049534;5022
4998;карниз 1.50.221 гибкий;1.50.221;Да;308,44;43404;2715;1960;103,03;103,03;6557.00;333,5;1229032;5883
4999;карниз 1.50.222 гибкий;1.50.222;Да;340,19;47838;2995;2160;113,44;113,44;7232.00;367,8;1355564;6488
5000;карниз 1.50.250 гибкий;1.50.250;Да;222,45;31296;1987;1414;75,32;75,32;4729.00;240,5;886710;4244
5001;карниз 1.50.251 гибкий;1.50.251;Да;86,18;12152;759;548;29,43;29,43;1832.00;93,2;344286;1645
5002;карниз 1.50.252 гибкий;1.50.252;Да;259,61;36540;2284;1650;85,1;85,1;5519.00;280,5;1034820;4950
5003;карниз 1.50.253 гибкий;1.50.253;Да;128,33;18078;1129;816;43,29;43,29;2728.00;138,7;512014;2447
5004;карниз 1.50.254 гибкий;1.50.254;Да;193,99;27288;1706;1234;62,45;62,45;4124.00;209,7;772926;3701
