Наименование;Артикул;Количество; Сумма,  руб. 
﻿ розетка  1.56.010 ;1.56.010;5;4413
﻿ розетка  1.56.028 ;1.56.028;3;14220
﻿ розетка  1.56.029 ;1.56.029;12;40874
﻿ розетка  1.56.030 ;1.56.030;13;18851
﻿ розетка  1.56.003 ;1.56.003;11;28975
﻿ розетка  1.56.031 ;1.56.031;5;17120
﻿ розетка  1.56.021 ;1.56.021;12;31944
﻿ розетка  1.56.026 ;1.56.026;2;9400
﻿ розетка  1.56.006 ;1.56.006;1;1369
﻿ розетка  1.56.009 ;1.56.009;1;1315
﻿ розетка  1.56.032 ;1.56.032;3;4418
﻿ розетка  1.56.011 ;1.56.011;1;807
﻿ розетка  1.56.037 ;1.56.037;7;10073
﻿ розетка  1.56.034 ;1.56.034;3;7698
﻿ розетка  1.56.033 ;1.56.033;3;7447
﻿ розетка  1.56.038 ;1.56.038;1;1481
﻿ розетка  1.56.027 ;1.56.027;4;5730
﻿ розетка  1.56.035 ;1.56.035;6;15141
﻿ орнамент  1.60.011 ;1.60.011;4;2144
﻿ орнамент  1.60.111 ;1.60.111;4;2144
﻿ орнамент  1.60.005 ;1.60.005;6;2808
﻿ орнамент  1.60.008 ;1.60.008;8;3252
﻿ орнамент  1.60.010 ;1.60.010;12;4764
﻿ орнамент  1.60.003 ;1.60.003;16;6192
﻿ орнамент  1.60.015 ;1.60.015;12;4968
﻿ орнамент  1.60.017 ;1.60.017;18;8478
﻿ орнамент  1.60.018 ;1.60.018;18;8262
﻿ орнамент  1.60.019 ;1.60.019;8;8800
﻿ орнамент  1.60.108 ;1.60.108;12;4800
﻿ орнамент  1.60.110 ;1.60.110;12;4764
﻿ купол  1.58.001 ;1.58.001;2;32647
﻿ капитель  1.11.010 ;1.11.010;2;16206
﻿ капитель  1.15.002 ;1.15.002;10;36406
﻿ капитель  1.15.003 ;1.15.003;5;23485
﻿ капитель  1.15.008 ;1.15.008;2;6746
﻿ капитель  1.21.003 ;1.21.003;10;20960
﻿ капитель  1.21.001 ;1.21.001;6;12054
﻿ капитель  1.21.002 ;1.21.002;8;19640
﻿ капитель  1.21.004 ;1.21.004;26;56966
﻿ капитель  1.21.005 ;1.21.005;32;75552
﻿ капитель  1.21.006 ;1.21.006;2;4474
﻿ капитель  1.21.007 ;1.21.007;4;8904
﻿ ствол  1.12.020 ;1.12.020;1;19810
﻿ ствол  1.12.080 ;1.12.080;2;23436
﻿ ствол  1.16.071 ;1.16.071;4;28780
﻿ ствол  1.16.010 ;1.16.010;2;17736
﻿ ствол  1.16.011 ;1.16.011;3;27339
﻿ ствол  1.16.020 ;1.16.020;10;96663
﻿ ствол  1.16.061 ;1.16.061;2;15830
﻿ ствол  1.22.010 ;1.22.010;4;12036
﻿ ствол  1.22.020 ;1.22.020;5;22434
﻿ ствол  1.22.030 ;1.22.030;19;63208
﻿ ствол  1.22.040 ;1.22.040;26;91000
﻿ кольцо  1.15.100 ;1.15.100;2;336
﻿ база  1.13.900 ;1.13.900;2;10654
﻿ база  1.13.200 ;1.13.200;1;6992
﻿ база  1.17.700 ;1.17.700;2;5226
﻿ база  1.17.200 ;1.17.200;17;48637
﻿ база  1.23.100 ;1.23.100;10;24610
﻿ база  1.23.200 ;1.23.200;5;16640
﻿ база  1.23.300 ;1.23.300;19;48481
﻿ база  1.23.400 ;1.23.400;26;88868
﻿ база  1.23.500 ;1.23.500;32;78560
﻿ пьедестал  1.14.001 ;1.14.001;1;9433
﻿ пьедестал  1.14.003 ;1.14.003;2;21910
﻿ база  1.54.010 ;1.54.010;27;28485
﻿ обрамление  арок  1.55.001 ;1.55.001;2;2418
﻿ обрамление  арок  1.55.002 ;1.55.002;2;2418
﻿ база  1.54.020 ;1.54.020;2;1912
﻿ квадрат  1.54.001 ;1.54.001;58;22116
﻿ квадрат  1.54.002 ;1.54.002;8;2936
﻿ наличник  1.54.003 ;1.54.003;4;6084
﻿ наличник  1.54.004 ;1.54.004;2;5096
﻿ элемент  1.54.005 ;1.54.005;2;1010
﻿ карниз  1.50.205 ;1.50.205;5;6955
﻿ молдинг  1.51.345 ;1.51.345;45;82339
﻿ молдинг  1.51.357 ;1.51.357;28;30100
﻿ молдинг  1.51.361 ;1.51.361;5;5805
﻿ розетка  1.56.036 ;1.56.036;1;5330
﻿ сандрик  1.63.001 ;1.63.001;16;50234
﻿ сандрик  1.63.002 ;1.63.002;2;5692
﻿ карниз  4.01.301 ;4.01.301;34;390796
﻿ карниз  4.01.103 ;4.01.103;1;15913
﻿ карниз  4.31.301 ;4.31.301;1;10608
﻿ карниз  4.31.302 ;4.31.302;5;46415
﻿ карниз  4.32.101 ;4.32.101;2;14144
﻿ карниз  4.81.001 ;4.81.001;9;58896
﻿ фриз  4.03.202 ;4.03.202;70;346640
﻿ фриз  4.03.301 ;4.03.301;22;70048
﻿ фриз  4.33.101 ;4.33.101;35;185675
﻿ архитрав  4.04.201 ;4.04.201;12;53064
﻿ архитрав  4.34.202 ;4.34.202;4;14148
﻿ архитрав  4.04.101 ;4.04.101;47;166239
﻿ архитрав  4.04.302 ;4.04.302;2;11320
﻿ архитрав  4.34.102 ;4.34.102;50;162071
﻿ балясина  4.71.101 ;4.71.101;1;2655
﻿ крышка  (шар)  4.77.201 ;4.77.201;1;1154
﻿ наличник  4.84.001 ;4.84.001;20;88440
﻿ наличник  4.84.002 ;4.84.002;15;58753
﻿ наличник  4.84.003 ;4.84.003;8;23536
﻿ наличник  4.84.052 ;4.84.052;2;8012
﻿ замковый  камень  4.85.001 ;4.85.001;5;6030
﻿ подоконный  элемент  4.82.001 ;4.82.001;26;137930
﻿ подоконный  элемент  4.82.002 ;4.82.002;2;7782
﻿ подоконный  элемент  4.82.003 ;4.82.003;1;3537
﻿ подоконный  элемент  4.82.201 ;4.82.201;13;34781
﻿ подоконный  элемент  4.82.202 ;4.82.202;24;63720
﻿ подоконный  элемент  4.82.302 ;4.82.302;2;5310
﻿ кронштейн-пьедестал  4.83.201 ;4.83.201;6;11682
﻿ кронштейн-пьедестал  4.83.301 ;4.83.301;1;1769
﻿ кронштейн-пьедестал  4.83.302 ;4.83.302;8;12736
﻿ руст  4.86.003 ;4.86.003;66;76164
﻿ руст  4.86.004 ;4.86.004;69;49134
﻿ руст  4.86.005 ;4.86.005;20;25400
﻿ база  4.53.201 ;4.53.201;4;3728
﻿ база  4.53.301 ;4.53.301;16;10656
﻿ база  4.17.101 ;4.17.101;4;9904
﻿ база  4.23.101 ;4.23.101;1;1860
﻿ база  4.43.301 ;4.43.301;1;2570
﻿ база  4.47.201 ;4.47.201;2;1864
﻿ база  4.13.202 ;4.13.202;2;8174
﻿ капитель  4.51.301 ;4.51.301;16;16992
﻿ капитель  4.15.101 ;4.15.101;4;9556
﻿ капитель  4.21.101 ;4.21.101;1;1860
﻿ капитель  4.41.301 ;4.41.301;2;4906
﻿ модильон  4.08.301 ;4.08.301;68;25500
﻿ модильон  4.08.302 ;4.08.302;10;2340
﻿ ствол  4.52.102 ;4.52.102;1;3537
﻿ ствол  4.16.102 ;4.16.102;4;35364
﻿ ствол  4.22.102 ;4.22.102;1;7957
﻿ ствол  4.42.301 ;4.42.301;1;6421
﻿ ствол  4.52.302 ;4.52.302;4;8492
﻿ ствол  4.12.202 ;4.12.202;1;24504
﻿ E01.M.290  /  Клей  Европласт  Монтажный  290  мл. ;E01.M.290;3732;1859936
﻿ E04.U.290  /  Клей  Европласт  универсальный  290  мл. ;E04.U.290;465;464120
﻿ E02.S.290  /  Клей  Европласт  стыковочный  SMP  290  мл. ;E02.S.290;112;156898
﻿ карниз  1.50.101 ;1.50.101;69;92658
﻿ карниз  1.50.199 ;1.50.199;21;29491
﻿ молдинг  1.51.353 ;1.51.353;16;13680
﻿ молдинг  1.51.356 ;1.51.356;13;14623
﻿ молдинг  1.51.356  гибкий ;1.51.356;2;4298
﻿ откос  4.88.001 ;4.88.001;51;158877
﻿ элемент  камина  1.64.004 ;1.64.004;2;30224
﻿ элемент  камина  1.64.005 ;1.64.005;2;14600
﻿ карниз  1.50.108 ;1.50.108;214;558318
﻿ карниз  1.50.161 ;1.50.161;10;13910
﻿ карниз  1.50.179 ;1.50.179;55;73779
﻿ карниз  1.50.189 ;1.50.189;4;6124
﻿ карниз  1.50.274 ;1.50.274;9;13639
﻿ карниз  1.50.275 ;1.50.275;119;310485
﻿ молдинг  1.51.346 ;1.51.346;217;208439
﻿ розетка  1.56.040 ;1.56.040;2;9400
﻿ розетка  1.56.041 ;1.56.041;1;3110
﻿ кронштейн  1.19.008 ;1.19.008;1;1719
﻿ капитель  1.21.008 ;1.21.008;2;3886
﻿ ствол  1.22.050 ;1.22.050;5;14320
﻿ база  1.23.600 ;1.23.600;4;8148
﻿ карниз  4.91.004 ;4.91.004;9;98514
